"Seq_run"	"R1"	"R2"	"SequenceNum"	"WellName"	"plate"	"sampleType"	"S"	"samplename"	"R1_filename"	"R2_filename"	"SequencingName"	"Subject"	"Main"	"Set"	"Type"	"Pellet"	"Super"	"co_assembly"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A11-BC1-BiomeHealth_470_S84_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A11-BC1-BiomeHealth_470_S84_R2_001.fastq.gz"	"470"	"A11"	"BC1"	"BiomeHealth"	"S84"	"A11_1"	"A11-BC1-BiomeHealth_470_S84_R1_001.fastq.gz"	"A11-BC1-BiomeHealth_470_S84_R2_001.fastq.gz"	"A11-BC1-BiomeHealth_470_S84"	"3"	2470	"Saliva"	"Saliva"	"2470"	"2470"	"Saliva_3"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A13-BC1-BiomeHealth_471_S85_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A13-BC1-BiomeHealth_471_S85_R2_001.fastq.gz"	"471"	"A13"	"BC1"	"BiomeHealth"	"S85"	"A13_1"	"A13-BC1-BiomeHealth_471_S85_R1_001.fastq.gz"	"A13-BC1-BiomeHealth_471_S85_R2_001.fastq.gz"	"A13-BC1-BiomeHealth_471_S85"	"4"	2471	"Saliva"	"Saliva"	"2471"	"2471"	"Saliva_4"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A15-BC1-BiomeHealth_472_S86_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A15-BC1-BiomeHealth_472_S86_R2_001.fastq.gz"	"472"	"A15"	"BC1"	"BiomeHealth"	"S86"	"A15_1"	"A15-BC1-BiomeHealth_472_S86_R1_001.fastq.gz"	"A15-BC1-BiomeHealth_472_S86_R2_001.fastq.gz"	"A15-BC1-BiomeHealth_472_S86"	"4"	2472	"Saliva"	"Saliva"	"2472"	"2472"	"Saliva_4"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A17-BC1-BiomeHealth_473_S87_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A17-BC1-BiomeHealth_473_S87_R2_001.fastq.gz"	"473"	"A17"	"BC1"	"BiomeHealth"	"S87"	"A17_1"	"A17-BC1-BiomeHealth_473_S87_R1_001.fastq.gz"	"A17-BC1-BiomeHealth_473_S87_R2_001.fastq.gz"	"A17-BC1-BiomeHealth_473_S87"	"5"	2473	"Saliva"	"Saliva"	"2473"	"2473"	"Saliva_5"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A19-BC1-BiomeHealth_474_S88_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A19-BC1-BiomeHealth_474_S88_R2_001.fastq.gz"	"474"	"A19"	"BC1"	"BiomeHealth"	"S88"	"A19_1"	"A19-BC1-BiomeHealth_474_S88_R1_001.fastq.gz"	"A19-BC1-BiomeHealth_474_S88_R2_001.fastq.gz"	"A19-BC1-BiomeHealth_474_S88"	"5"	2474	"Saliva"	"Saliva"	"2474"	"2474"	"Saliva_5"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A1-BC1-BiomeHealth_465_S79_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A1-BC1-BiomeHealth_465_S79_R2_001.fastq.gz"	"465"	"A1"	"BC1"	"BiomeHealth"	"S79"	"A1_1"	"A1-BC1-BiomeHealth_465_S79_R1_001.fastq.gz"	"A1-BC1-BiomeHealth_465_S79_R2_001.fastq.gz"	"A1-BC1-BiomeHealth_465_S79"	"1"	2465	"Saliva"	"Saliva"	"2465"	"2465"	"Saliva_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A21-BC1-control_1_S89_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A21-BC1-control_1_S89_R2_001.fastq.gz"	"1"	"A21"	"BC1"	"control"	"S89"	"A21_1"	"A21-BC1-control_1_S89_R1_001.fastq.gz"	"A21-BC1-control_1_S89_R2_001.fastq.gz"	"A21-BC1-control_1_S89"	"Control_1"	NA	NA	NA	NA	NA	NA
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A23-BC1-control_2_S90_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A23-BC1-control_2_S90_R2_001.fastq.gz"	"2"	"A23"	"BC1"	"control"	"S90"	"A23_1"	"A23-BC1-control_2_S90_R1_001.fastq.gz"	"A23-BC1-control_2_S90_R2_001.fastq.gz"	"A23-BC1-control_2_S90"	"Control_1"	NA	NA	NA	NA	NA	NA
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A3-BC1-BiomeHealth_466_S80_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A3-BC1-BiomeHealth_466_S80_R2_001.fastq.gz"	"466"	"A3"	"BC1"	"BiomeHealth"	"S80"	"A3_1"	"A3-BC1-BiomeHealth_466_S80_R1_001.fastq.gz"	"A3-BC1-BiomeHealth_466_S80_R2_001.fastq.gz"	"A3-BC1-BiomeHealth_466_S80"	"1"	2466	"Saliva"	"Saliva"	"2466"	"2466"	"Saliva_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A5-BC1-BiomeHealth_467_S81_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A5-BC1-BiomeHealth_467_S81_R2_001.fastq.gz"	"467"	"A5"	"BC1"	"BiomeHealth"	"S81"	"A5_1"	"A5-BC1-BiomeHealth_467_S81_R1_001.fastq.gz"	"A5-BC1-BiomeHealth_467_S81_R2_001.fastq.gz"	"A5-BC1-BiomeHealth_467_S81"	"2"	2467	"Saliva"	"Saliva"	"2467"	"2467"	"Saliva_2"
