sample	average_genome_size
C11_2	3384503.597434191
C13_2	3369777.8281133943
C15_2	3394730.0921170013
C17_2	3294275.067451637
C19_2	3366969.3344113664
C11_1	2467337.0661297003
C5_1	2988083.912827527
E11_1	3872765.075976081
E1_1	4398986.531310863
E5_1	4130640.520909779
G11_1	4595172.2800808055
G3_1	6495373.102328688
G5_1	5816338.567840945
G7_1	4538127.973570734
G9_1	4342854.912196861
I23_1	4762000.5998544805
K3_1	3381982.817341197
K5_1	4419716.717489368
K7_1	4306643.066929095
K9_1	4399341.534593355
G13_2	3883391.0567098553
G15_2	3017079.6143235452
C21_2	2853682.924009898
C23_2	3468419.9624293745
E11_2	3733687.0807961724
E1_2	3167115.2257505264
E3_2	3410795.0050754496
E5_2	2497271.6377321095
E7_2	2727904.3678585403
E9_2	3133274.9412827124
A15_2	2512135.7425764245
A17_2	2902802.3481136463
A19_2	2960804.203400412
A21_2	2546771.329350128
A23_2	2821908.888048184
E13_2	4044114.2042331332
E15_2	4310189.779626097
E17_2	3905751.8563696104
E19_2	4182268.3343774052
E21_2	4486158.371700453
D13_2	20984124.981690053
D15_2	2564205.625848314
D19_2	2802834.002249014
D21_2	2110636.257092674
D23_2	2701923.901917814
F11_2	3857686.6934150294
F13_2	2942937.866733677
F15_2	3919404.8599579036
F17_2	4799580.878554752
F3_2	3772019.2871497367
F7_2	2305296.907149845
F9_2	4358663.6816183375
C7_1	3720216.372406791
C9_1	3610820.0606896295
D15_1	4647893.457576938
F15_1	3672722.781529302
F23_1	3010161.154843627
H15_1	3878073.490859378
H23_1	3030348.00168722
J15_1	3185038.5939384205
J23_1	3112543.789149167
L15_1	3419855.2594762696
L23_1	3015356.8277308443
O11_1	4604504.117379918
O13_1	3873760.452416294
O17_1	3068681.1756230607
O19_1	3224387.297464014
O21_1	3212611.7957756044
O23_1	3438734.069365371
O7_1	5229189.788412478
O9_1	5336950.251059278
G17_2	2486387.365126769
G19_2	2569906.5216290834
E23_2	3241200.3522701263
G11_2	2984633.411882943
G1_2	2949937.7104265536
G3_2	3221640.8464270695
G5_2	3054033.0556542813
G7_2	2945863.714077716
G9_2	3213966.3442413076
G21_2	3207226.5576763535
G23_2	2835183.388241398
E22_2	3375960.3363957033
G10_2	3624955.6204565377
G12_2	4516363.485395108
G14_2	2884493.5898172334
G16_2	2820189.7869540714
G18_2	2799108.6995230285
G20_2	3717951.677007132
G22_2	2235862.1494658673
G2_2	3182588.9482643986
G4_2	3185037.5373847876
G6_2	2379570.257632169
G8_2	3596093.829905469
I2_2	4123847.835668697
I4_2	3910630.783082594
J11_2	2025079.065597867
J13_2	2661137.3034499064
C21_1	2771527.406246421
C23_1	2800744.1335176965
E13_1	3174538.5570172775
E15_1	4656487.795801077
E17_1	4588273.899181218
E19_1	4002034.5988125005
E23_1	2578930.855761075
E3_1	3023600.7486103685
E9_1	2796488.078143432
G13_1	4519809.782144093
G15_1	4799711.5496536875
G17_1	4741849.931796328
G19_1	4751278.212002457
G1_1	3328293.706557976
G21_1	2644202.729737404
G23_1	4016454.800786384
I11_1	3840197.1135472977
I15_1	4077611.7751399195
I17_1	5271589.003872817
I19_1	5050483.0527341375
I1_1	3395423.978436562
I21_1	3847991.783001009
I3_1	4826893.776032558
I5_1	3184427.210351385
I7_1	4138752.7509090644
I9_1	4519446.884691026
K13_1	3905075.1909235436
K15_1	3983185.8682887214
K17_1	3828468.9426120915
K19_1	4106963.330823202
L21_1	3299719.6213674266
N21_1	5149419.053131042
M11_2	2539035.6616260936
M13_2	2949205.743354448
M15_2	3369048.2082729633
M17_2	3666786.740150802
M19_2	4101175.313589093
M1_2	1465382.0013095166
M21_2	3564627.075192907
M23_2	3495249.3556864006
M3_2	1549349.8248573374
M5_2	2336909.9037582385
M7_2	2971369.3734774943
M9_2	3202558.941793603
O1_2	4460222.721338114
O3_2	4860475.32822125
O5_2	5232277.797397713
I10_2	3160628.4437787384
I12_2	4100845.2344316784
I14_2	1994636.0973086355
I16_2	3885359.623759185
I18_2	2632726.537982498
I20_2	2405274.961437007
I22_2	2892105.34782913
I6_2	4664028.055490906
I8_2	2094894.263052401
J15_2	3275705.7893887656
K2_2	2836612.434342743
K4_2	2099400.732567948
K6_2	3035228.921367001
K8_2	3195121.105684692
P23_2	2823057.8814962823
A16_2	3024321.0685640927
A18_2	2933634.361268124
A20_2	2638919.652324599
A22_2	3061057.753104037
C10_2	3597383.1760150185
C12_2	2687343.958606193
C14_2	2073628.4836280083
C16_2	4337445.92026364
C18_2	4477057.610029981
C20_2	4240737.052877197
C22_2	2710124.7988166506
C2_2	4663908.690316091
C4_2	4560720.670289965
C6_2	4470671.689346505
C8_2	4698919.383502177
J9_2	2810609.946154734
A11_2	2499777.406710716
A1_2	2744346.5554810315
A3_2	2570252.353206578
A5_2	2561108.274570878
A7_2	2490772.07161854
A9_2	2432483.2550331247
B17_1	2919222.2339978437
B19_1	4295085.955755027
D17_1	3243101.0558555406
F17_1	4637968.177894752
F19_1	3222676.6944322763
H17_1	3268331.907903613
H19_1	3226043.096385136
J19_1	2676427.714898815
L17_1	4597992.051352889
L19_1	3314425.637302565
N15_1	3651002.6723831743
P15_1	3117703.059281002
B23_1	4021964.882849178
D23_1	3760033.380253781
K21_1	3593808.628309478
K23_1	3722038.6917922026
M11_1	4417780.99597087
M13_1	4243336.057210611
M15_1	3793094.910624118
M17_1	4124569.1387260812
M1_1	4251761.077661282
M21_1	4253548.636260265
M23_1	3782689.3547146227
