sample	genome_equivalents
G13_2	1243.9770791697874
G15_2	1699.4508589225948
C11_2	2039.8713634796902
C13_2	2184.123530814665
C15_2	2241.774340667585
C17_2	2646.4141462066873
C19_2	2363.1404143426876
A15_2	2884.7573095582966
A17_2	2435.632428985206
A19_2	1722.5054078695146
A21_2	1890.9242233494356
A23_2	1202.0909591968648
A10_2	220.5899830451913
A12_2	1727.0407610970865
A2_2	511.08741983429275
A4_2	491.16207713027205
A6_2	1328.9844022320783
A8_2	2366.7502998523823
O11_2	2411.399901667291
O13_2	1361.7608437730396
O15_2	1654.273863152476
O17_2	1424.4264280903228
O19_2	3688.4957737585933
O21_2	961.1002010002836
O23_2	84.82966608269015
O7_2	344.93269564450503
O9_2	494.9666017533918
C11_1	1632.2803792338816
C5_1	412.5735347349858
I10_2	1071.4489552436207
I12_2	2999.5340859784237
I14_2	275.4833238711693
I16_2	1972.9251030264759
I18_2	64.64878806988783
I20_2	185.45077928783076
I22_2	695.1678622319616
I6_2	351.9265858762586
I8_2	2446.3165775884368
J15_2	572.0178692695222
K2_2	339.358572339843
K4_2	486.9131005540007
K6_2	860.2904702239007
K8_2	2300.657012631375
P23_2	99.02081421435005
E23_2	1171.6269502871858
G11_2	2030.6207462096515
G1_2	1833.0478473791593
G3_2	375.3529135133452
G5_2	2533.9377599965405
G7_2	1255.6416321377778
G9_2	2312.897619889289
E13_1	238.71414959660092
E15_1	1436.9476900666705
E17_1	1250.6390215771557
E19_1	960.4609178392777
E23_1	2047.2428953283802
E3_1	518.009866454704
E9_1	2221.625360950796
G13_1	820.7102795906426
G15_1	792.7492609997655
G17_1	899.4380280576096
G19_1	1012.3768172213091
G1_1	808.5146814711034
G21_1	1418.492762985874
G23_1	128.42543326990966
I11_1	1232.6367183864347
I15_1	741.9181258118157
I17_1	678.0419853243618
I19_1	463.6192996890468
I1_1	1199.280991670148
I21_1	817.5318320317668
I3_1	494.91666086829724
I5_1	1172.6502034216533
I7_1	748.5028689668796
I9_1	734.4577853639115
K13_1	1056.1317891102158
K15_1	504.3136399916535
K17_1	1234.2237888904212
K19_1	294.92263223037327
L21_1	240.09936628242426
N21_1	1004.8580180814275
M11_2	3505.086187840466
M13_2	1675.5120137463118
M15_2	1078.9344863258455
M17_2	2493.083568209925
M19_2	2248.8341645479977
M1_2	2179.1705174120743
M21_2	3352.874279381163
M23_2	1544.7062056434347
M3_2	3664.7257171393294
M5_2	3613.5864692170117
M7_2	3065.080241889012
M9_2	2382.588844321654
O1_2	1212.7870987521342
O3_2	1924.4528924341068
O5_2	1717.832623579408
E11_1	1106.2222644424764
E1_1	1081.2786272802232
E5_1	132.79399483525785
G11_1	896.07034274841
G3_1	702.8655244397347
G5_1	376.5512523823033
G7_1	284.04815587113984
G9_1	1212.0286139923892
I23_1	828.7366339518305
K3_1	1684.5334804151498
K5_1	597.0117753381436
K7_1	130.2009238485219
K9_1	181.57631311837605
C7_1	701.9157405381332
C9_1	1211.5227561809043
G21_2	2001.4967101827601
G23_2	1839.0077247292572
C13_1	1551.9022106466737
C15_1	1992.9821910998978
B17_1	565.3829094538265
B19_1	34.01842047054333
D17_1	154.95901649214144
F17_1	351.3059407707248
F19_1	65.40714380817937
H17_1	930.9197950925272
H19_1	62.64319228296939
J19_1	225.50453525804178
L17_1	42.86153429560912
L19_1	23.3786841158586
N15_1	51.565580990689945
P15_1	1597.5861053132692
E14_2	20.780542730578784
E20_2	789.9692738517938
E2_2	2129.734474146335
E4_2	303.6873711681609
E6_2	1147.3387143412212
E8_2	2068.8077435418318
C1_2	1829.769266819147
C3_2	2266.045508992779
C5_2	2622.560801265087
C7_2	2435.1610696201496
C9_2	1992.6899347857905
I1_2	3186.7968024992347
D13_2	324.1914805566555
D15_2	3240.299277188899
D19_2	29.595627116496736
D21_2	1520.772855679729
D23_2	1013.6789485654842
F11_2	1692.2628318011157
F13_2	250.33959443312676
F15_2	1135.6564940443043
F17_2	910.462815102273
F3_2	947.6557805994329
F7_2	1742.0659315268672
F9_2	2132.623050776126
B1_2	1321.3151243021498
B3_2	1690.8767834822324
J19_2	2097.4446379129713
J21_2	988.9654054726099
M22_2	1333.9801078993894
O10_2	712.7397187263317
O12_2	1216.2739302106427
O14_2	1321.563047829505
O16_2	1843.9856821148608
O18_2	1694.6000501448434
O20_2	1704.075301074161
O22_2	1141.8689528397458
O2_2	604.3425547193557
O4_2	702.223660687268
O6_2	2305.6252288983183
O8_2	1187.3078217665663
E22_2	19.335236050104168
G10_2	1587.1206503972094
G12_2	1075.3800210514075
G14_2	2340.7472104757944
G16_2	469.291473971838
G18_2	1397.0492831044228
G20_2	3094.8487854641708
G22_2	2088.990525250315
G2_2	2293.6065425542265
G4_2	2333.8190199489554
G6_2	3400.54218111295
G8_2	2231.2633689569006
I2_2	1057.8321620571219
I4_2	2132.1600315914807
J11_2	3047.111501386358
J13_2	2245.513313519445
G17_2	1114.7786321938138
G19_2	1631.9072871730318
E13_2	844.7636321506458
E15_2	1125.6828116790941
E17_2	1155.6104314817676
E19_2	1885.8794533024957
E21_2	1119.1914720783404
B11_2	2306.3129185811363
B13_2	1677.3374042516243
B15_2	2098.282713187663
B17_2	2476.611575530869
B19_2	2411.3397854964005
B21_2	2298.511082933186
B23_2	1908.2090084723932
B5_2	1623.4735853398422
B7_2	441.978282467805
B9_2	1832.3387494031674
D1_2	2450.213154108185
D3_2	1213.4829481501054
D7_2	2471.1481135160366
D9_2	2149.3704853136546
B23_1	1237.115506706075
D23_1	1460.954622064881
K21_1	669.9887086454657
K23_1	1255.5829380026516
M11_1	154.53590719473084
M13_1	32.91523040289516
M15_1	216.25566070136404
M17_1	1249.936130684505
M1_1	1193.0342696467249
M21_1	34.03771918011782
M23_1	1561.4784689200603
M3_1	37.04530427230689
M5_1	199.0941705959874
M7_1	179.93296433390583
M9_1	1029.3933511972148
O1_1	114.3201393528612
O3_1	466.37273149998776
P21_1	1694.92285857991
C17_1	1285.0902459609704
C19_1	947.0116447134777
D15_1	1183.8160238011264
F15_1	452.57195025971464
F23_1	1336.852092960135
H15_1	114.59465403310855
H23_1	1144.539131502029
J15_1	1992.827359165971
J23_1	1954.0488558596535
L15_1	1793.4440479622174
L23_1	766.8566422170729
O11_1	556.6375854298152
O13_1	592.9600996796883
O17_1	1260.1640830982844
O19_1	475.3919323542762
O21_1	1284.0182711848972
O23_1	1140.318325552775
O7_1	1051.0442677332153
O9_1	154.05426195172302
F19_2	16.048413891468012
H11_2	972.014455689431
H15_2	61.33610213600432
H17_2	1120.3188872090916
H19_2	2695.6099548385655
H1_2	825.4015344301916
H21_2	1106.8056728832962
H23_2	1041.6571610033282
H3_2	521.5425302065435
H7_2	31.461984669924128
H9_2	40.696519239198146
J3_2	1431.818225746773
C21_2	2669.820466702128
C23_2	1744.2577195186436
E11_2	2009.6554498616333
E1_2	2099.6346763557262
E3_2	2229.86430456314
E5_2	1942.640072749833
E7_2	1962.4997500196878
E9_2	1931.6618213919758
A11_2	2828.282027439804
A1_2	1219.1106984349392
A3_2	2946.9039188119104
A5_2	2588.158779468484
A7_2	3720.6409440659872
A9_2	3529.5320624450032
C21_1	289.7500728984671
C23_1	513.6809817014688
J17_2	812.4565634302134
K12_2	581.778709402044
K14_2	931.188854564608
K16_2	2398.926338076022
K18_2	94.85427304723554
K20_2	2421.772383255147
K22_2	683.6633689438119
M10_2	2210.187200588802
M12_2	1472.6793369795575
M14_2	1316.1002404403025
M18_2	2053.813696565094
M2_2	1899.7443561969067
M6_2	2217.735146375988
M8_2	3427.5320371251983
A16_2	1863.9862918643462
A18_2	926.2784510150624
A20_2	2725.652754779385
A22_2	2034.7107138648992
C10_2	521.4212132047201
C12_2	80.84606040258569
C14_2	106.7287692792429
C16_2	1448.9018066231042
C18_2	1029.46581023985
C20_2	1307.9007316044062
C22_2	1673.9753121261788
C2_2	1526.9524261456636
C4_2	1056.1534038640766
C6_2	1750.0799556908792
C8_2	1297.7320584408735
J9_2	373.24765161214793
