Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_9/G8_2.bam	RPKG	geneLoc	geneNum	Score
36722_4	k141_178026	2348	3364	-	1017	0	0	Capsule_9.k141_178026_4/1-334	Capsule_9.k141_178026_4	563.3
50210_5	k141_237737	3506	4516	-	1011	0	0	Capsule_9.k141_237737_5/1-329	Capsule_9.k141_237737_5	502.6
65931_1	k141_203308	27	1025	-	999	0	0	Capsule_9.k141_203308_1/1-328	Capsule_9.k141_203308_1	487.8
65904_2	k141_203286	294	1292	+	999	0	0	Capsule_9.k141_203286_2/1-328	Capsule_9.k141_203286_2	485.8
18670_7	k141_248919	4308	5306	+	999	0	0	Capsule_9.k141_248919_7/1-328	Capsule_9.k141_248919_7	480.6
30168_3	k141_269458	1793	2845	+	1053	0	0	Capsule_9.k141_269458_3/1-345	Capsule_9.k141_269458_3	472.9
42136_12	k141_9629	8766	9785	-	1020	0	0	Capsule_9.k141_9629_12/1-334	Capsule_9.k141_9629_12	463.6
4049_4	k141_1258	4057	5094	-	1038	8	0.00345415	Capsule_9.k141_1258_4/1-337	Capsule_9.k141_1258_4	444.2
45644_6	k141_47448	8900	9946	+	1047	0	0	Capsule_9.k141_47448_6/1-338	Capsule_9.k141_47448_6	442.9
44075_4	k141_47117	5960	6994	+	1035	0	0	Capsule_9.k141_47117_4/1-338	Capsule_9.k141_47117_4	429.4
36722_3	k141_178026	1561	2355	-	795	0	0	Capsule_9.k141_178026_3/4-264	Capsule_9.k141_178026_3	473.1
65904_3	k141_203286	1294	2082	+	789	0	0	Capsule_9.k141_203286_3/3-262	Capsule_9.k141_203286_3	434.4
18670_8	k141_248919	5308	6096	+	789	0	0	Capsule_9.k141_248919_8/3-262	Capsule_9.k141_248919_8	425.1
30168_4	k141_269458	2847	3641	+	795	0	0	Capsule_9.k141_269458_4/5-264	Capsule_9.k141_269458_4	420.0
50210_4	k141_237737	2714	3505	-	792	0	0	Capsule_9.k141_237737_4/2-263	Capsule_9.k141_237737_4	417.2
42136_11	k141_9629	7961	8773	-	813	1	0.000551263	Capsule_9.k141_9629_11/3-270	Capsule_9.k141_9629_11	387.7
4049_3	k141_1258	3246	4037	-	792	0	0	Capsule_9.k141_1258_3/4-263	Capsule_9.k141_1258_3	348.7
45644_7	k141_47448	9949	10740	+	792	0	0	Capsule_9.k141_47448_7/4-263	Capsule_9.k141_47448_7	331.6
44075_5	k141_47117	7011	7802	+	792	0	0	Capsule_9.k141_47117_5/4-263	Capsule_9.k141_47117_5	330.6
30168_5	k141_269458	3654	4616	+	963	0	0	Capsule_9.k141_269458_5/2-315	Capsule_9.k141_269458_5	566.0
36722_2	k141_178026	576	1547	-	972	0	0	Capsule_9.k141_178026_2/2-315	Capsule_9.k141_178026_2	559.5
65904_4	k141_203286	2096	3061	+	966	0	0	Capsule_9.k141_203286_4/2-315	Capsule_9.k141_203286_4	526.5
18670_9	k141_248919	6110	7075	+	966	1	0.000463951	Capsule_9.k141_248919_9/2-315	Capsule_9.k141_248919_9	525.1
50210_3	k141_237737	1732	2700	-	969	0	0	Capsule_9.k141_237737_3/4-317	Capsule_9.k141_237737_3	524.8
42136_10	k141_9629	6897	7946	-	1050	1	0.000426835	Capsule_9.k141_9629_10/2-315	Capsule_9.k141_9629_10	492.5
35407_1	k141_252922	3	722	+	720	0	0	Capsule_9.k141_252922_1/2-233	Capsule_9.k141_252922_1	400.7
44075_6	k141_47117	7821	8876	+	1056	0	0	Capsule_9.k141_47117_6/4-321	Capsule_9.k141_47117_6	374.5
4049_2	k141_1258	2137	3228	-	1092	0	0	Capsule_9.k141_1258_2/4-329	Capsule_9.k141_1258_2	371.5
45644_8	k141_47448	10758	11609	+	852	0	0	Capsule_9.k141_47448_8/4-273	Capsule_9.k141_47448_8	344.7
