Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_12/I1_2.bam	RPKM	geneLoc	geneNum	Score
50417_2	k141_304901	1146	2201	+	1056	9	0.305774	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
50417_1	k141_304901	3	1094	+	1092	10	0.328548	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
50417_10	k141_304901	8382	8894	+	513	2	0.139873	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
50417_11	k141_304901	8891	9127	+	237	0	0	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
31124_12	k141_103584	11923	13374	+	1452	13	0.321217	Stool_12.k141_103584_12/21-362	Stool_12.k141_103584_12	238.2
31124_11	k141_103584	10588	11904	+	1317	12	0.326902	Stool_12.k141_103584_11/63-344	Stool_12.k141_103584_11	169.0
54774_4	k141_28767	2542	3855	+	1314	45	1.22868	Stool_12.k141_28767_4/4-418	Stool_12.k141_28767_4	206.6
54774_5	k141_28767	3874	4683	+	810	30	1.3288	Stool_12.k141_28767_5/20-268	Stool_12.k141_28767_5	138.6
54774_4	k141_28767	2542	3855	+	1314	45	1.22868	Stool_12.k141_28767_4/63-436	Stool_12.k141_28767_4	645.1
31124_11	k141_103584	10588	11904	+	1317	12	0.326902	Stool_12.k141_103584_11/64-437	Stool_12.k141_103584_11	641.7
50417_1	k141_304901	3	1094	+	1092	10	0.328548	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
50417_10	k141_304901	8382	8894	+	513	2	0.139873	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
50417_11	k141_304901	8891	9127	+	237	0	0	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
31124_12	k141_103584	11923	13374	+	1452	13	0.321217	Stool_12.k141_103584_12/11-266	Stool_12.k141_103584_12	447.1
54774_5	k141_28767	3874	4683	+	810	30	1.3288	Stool_12.k141_28767_5/11-266	Stool_12.k141_28767_5	445.5
50417_2	k141_304901	1146	2201	+	1056	9	0.305774	Stool_12.k141_304901_2/3-237	Stool_12.k141_304901_2	397.6
