coassembly	sample	geneID	contig	start	stop	strand	length	mapped	RPKM	geneLoc	geneNum	Score
Stool_1	C11_1	118093_5	k141_118093	4433	5431	-	999	71	6.9457	Stool_1.k141_118093_5/1-328	Stool_1.k141_118093_5	480.0
Stool_1	C11_1	118093_4	k141_118093	3643	4431	-	789	56	6.9364	Stool_1.k141_118093_4/3-262	Stool_1.k141_118093_4	420.8
Stool_1	C11_1	44571_2	k141_44571	632	1423	-	792	24	2.96148	Stool_1.k141_44571_2/3-263	Stool_1.k141_44571_2	419.8
Stool_1	C11_1	118093_3	k141_118093	2664	3629	-	966	83	8.39699	Stool_1.k141_118093_3/2-315	Stool_1.k141_118093_3	523.3
Stool_1	C11_1	206682_1	k141_206682	111	1031	-	921	42	4.45669	Stool_1.k141_206682_1/1-300	Stool_1.k141_206682_1	496.7
Stool_1	C5_1	118093_5	k141_118093	4433	5431	-	999	0	0	Stool_1.k141_118093_5/1-328	Stool_1.k141_118093_5	480.0
Stool_1	C5_1	118093_4	k141_118093	3643	4431	-	789	6	2.41343	Stool_1.k141_118093_4/3-262	Stool_1.k141_118093_4	420.8
Stool_1	C5_1	44571_2	k141_44571	632	1423	-	792	4	1.60286	Stool_1.k141_44571_2/3-263	Stool_1.k141_44571_2	419.8
Stool_1	C5_1	118093_3	k141_118093	2664	3629	-	966	5	1.64268	Stool_1.k141_118093_3/2-315	Stool_1.k141_118093_3	523.3
Stool_1	C5_1	206682_1	k141_206682	111	1031	-	921	0	0	Stool_1.k141_206682_1/1-300	Stool_1.k141_206682_1	496.7
Capsule_12	J17_2	89630_4	k141_89630	2153	3169	-	1017	0	0	Capsule_12.k141_89630_4/1-334	Capsule_12.k141_89630_4	563.3
Capsule_12	J17_2	43711_5	k141_43711	3795	4805	-	1011	0	0	Capsule_12.k141_43711_5/1-329	Capsule_12.k141_43711_5	503.2
Capsule_12	J17_2	93031_7	k141_93031	7105	8103	+	999	24	2.32788	Capsule_12.k141_93031_7/1-328	Capsule_12.k141_93031_7	489.8
Capsule_12	J17_2	81666_5	k141_81666	2246	3244	+	999	16	1.55192	Capsule_12.k141_81666_5/1-328	Capsule_12.k141_81666_5	479.0
Capsule_12	J17_2	276453_25	k141_276453	24061	25113	-	1053	15	1.38031	Capsule_12.k141_276453_25/1-345	Capsule_12.k141_276453_25	472.9
Capsule_12	J17_2	218262_5	k141_218262	4068	5102	-	1035	1	0.0936212	Capsule_12.k141_218262_5/1-338	Capsule_12.k141_218262_5	429.4
Capsule_12	J17_2	89197_2	k141_89197	305	1237	-	933	10	1.03856	Capsule_12.k141_89197_2/3-300	Capsule_12.k141_89197_2	396.4
Capsule_12	J17_2	63953_1	k141_63953	4	1050	-	1047	0	0	Capsule_12.k141_63953_1/1-342	Capsule_12.k141_63953_1	369.6
Capsule_12	J17_2	277439_1	k141_277439	3	683	+	681	0	0	Capsule_12.k141_277439_1/2-220	Capsule_12.k141_277439_1	348.7
Capsule_12	J17_2	89630_3	k141_89630	1366	2160	-	795	0	0	Capsule_12.k141_89630_3/4-264	Capsule_12.k141_89630_3	472.1
Capsule_12	J17_2	93031_8	k141_93031	8105	8893	+	789	13	1.59654	Capsule_12.k141_93031_8/3-262	Capsule_12.k141_93031_8	434.9
Capsule_12	J17_2	81666_6	k141_81666	3246	4034	+	789	16	1.96498	Capsule_12.k141_81666_6/3-262	Capsule_12.k141_81666_6	434.3
Capsule_12	J17_2	71385_2	k141_71385	240	1028	+	789	1	0.122811	Capsule_12.k141_71385_2/3-262	Capsule_12.k141_71385_2	432.6
Capsule_12	J17_2	43711_4	k141_43711	3003	3794	-	792	0	0	Capsule_12.k141_43711_4/2-263	Capsule_12.k141_43711_4	421.2
Capsule_12	J17_2	276453_24	k141_276453	23265	24059	-	795	0	0	Capsule_12.k141_276453_24/5-264	Capsule_12.k141_276453_24	420.0
Capsule_12	J17_2	218262_4	k141_218262	3260	4051	-	792	1	0.122346	Capsule_12.k141_218262_4/4-263	Capsule_12.k141_218262_4	330.6
Capsule_12	J17_2	94413_1	k141_94413	3	728	+	726	0	0	Capsule_12.k141_94413_1/1-241	Capsule_12.k141_94413_1	318.4
Capsule_12	J17_2	276453_23	k141_276453	22290	23252	-	963	3	0.301863	Capsule_12.k141_276453_23/2-315	Capsule_12.k141_276453_23	566.0
Capsule_12	J17_2	89630_2	k141_89630	381	1352	-	972	0	0	Capsule_12.k141_89630_2/2-315	Capsule_12.k141_89630_2	559.5
Capsule_12	J17_2	81666_7	k141_81666	4048	5013	+	966	9	0.902775	Capsule_12.k141_81666_7/2-315	Capsule_12.k141_81666_7	528.2
Capsule_12	J17_2	93031_9	k141_93031	8909	9874	+	966	16	1.60493	Capsule_12.k141_93031_9/2-315	Capsule_12.k141_93031_9	527.0
Capsule_12	J17_2	43711_3	k141_43711	2021	2989	-	969	0	0	Capsule_12.k141_43711_3/4-317	Capsule_12.k141_43711_3	525.1
Capsule_12	J17_2	76077_2	k141_76077	376	1359	+	984	0	0	Capsule_12.k141_76077_2/6-319	Capsule_12.k141_76077_2	489.0
Capsule_12	J17_2	218262_3	k141_218262	2186	3241	-	1056	12	1.10111	Capsule_12.k141_218262_3/4-321	Capsule_12.k141_218262_3	374.5
Capsule_12	K12_2	89630_4	k141_89630	2153	3169	-	1017	0	0	Capsule_12.k141_89630_4/1-334	Capsule_12.k141_89630_4	563.3
Capsule_12	K12_2	43711_5	k141_43711	3795	4805	-	1011	0	0	Capsule_12.k141_43711_5/1-329	Capsule_12.k141_43711_5	503.2
Capsule_12	K12_2	93031_7	k141_93031	7105	8103	+	999	1	0.16734	Capsule_12.k141_93031_7/1-328	Capsule_12.k141_93031_7	489.8
Capsule_12	K12_2	81666_5	k141_81666	2246	3244	+	999	0	0	Capsule_12.k141_81666_5/1-328	Capsule_12.k141_81666_5	479.0
