coassembly	sample	geneID	contig	start	stop	strand	length	mapped	RPKM	geneLoc	geneNum	Score
Capsule_4	D15_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	1	0.0490608	Capsule_4.k141_102741_3/51-395	Capsule_4.k141_102741_3	604.5
Capsule_4	D15_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	207	8.3301	Capsule_4.k141_67355_18/11-266	Capsule_4.k141_67355_18	446.9
Capsule_4	D15_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	0	0	Capsule_4.k141_102741_4/3-237	Capsule_4.k141_102741_4	398.6
Capsule_4	D15_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	1	0.0490608	Capsule_4.k141_102741_3/4-307	Capsule_4.k141_102741_3	222.5
Capsule_4	D15_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	207	8.3301	Capsule_4.k141_67355_18/21-362	Capsule_4.k141_67355_18	238.8
Capsule_4	D15_1_dsrAB_col8score_RPKM.txt	8703_17	k141_67355	16731	18047	+	1317	226	10.027	Capsule_4.k141_67355_17/63-344	Capsule_4.k141_67355_17	169.0
Capsule_4	D15_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	0	0	Capsule_4.k141_102741_4/8-283	Capsule_4.k141_102741_4	190.5
Capsule_4	F15_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	7	1.0828	Capsule_4.k141_102741_3/51-395	Capsule_4.k141_102741_3	604.5
Capsule_4	F15_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	1284	162.914	Capsule_4.k141_67355_18/11-266	Capsule_4.k141_67355_18	446.9
Capsule_4	F15_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	0	0	Capsule_4.k141_102741_4/3-237	Capsule_4.k141_102741_4	398.6
Capsule_4	F15_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	7	1.0828	Capsule_4.k141_102741_3/4-307	Capsule_4.k141_102741_3	222.5
Capsule_4	F15_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	1284	162.914	Capsule_4.k141_67355_18/21-362	Capsule_4.k141_67355_18	238.8
Capsule_4	F15_1_dsrAB_col8score_RPKM.txt	8703_17	k141_67355	16731	18047	+	1317	1169	163.527	Capsule_4.k141_67355_17/63-344	Capsule_4.k141_67355_17	169.0
Capsule_4	F15_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	0	0	Capsule_4.k141_102741_4/8-283	Capsule_4.k141_102741_4	190.5
Capsule_4	F23_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	1441	82.0902	Capsule_4.k141_67355_18/21-362	Capsule_4.k141_67355_18	238.8
Capsule_4	F23_1_dsrAB_col8score_RPKM.txt	8703_17	k141_67355	16731	18047	+	1317	1699	106.709	Capsule_4.k141_67355_17/63-344	Capsule_4.k141_67355_17	169.0
Capsule_4	F23_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	7	0.682	Capsule_4.k141_102741_4/8-283	Capsule_4.k141_102741_4	190.5
Capsule_4	F23_1_dsrAB_col8score_RPKM.txt	8703_17	k141_67355	16731	18047	+	1317	1699	106.709	Capsule_4.k141_67355_17/64-437	Capsule_4.k141_67355_17	641.7
Capsule_4	F23_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	24	1.66684	Capsule_4.k141_102741_3/51-395	Capsule_4.k141_102741_3	604.5
Capsule_4	F23_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	1441	82.0902	Capsule_4.k141_67355_18/11-266	Capsule_4.k141_67355_18	446.9
Capsule_4	F23_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	7	0.682	Capsule_4.k141_102741_4/3-237	Capsule_4.k141_102741_4	398.6
Capsule_4	H15_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	1	0.59284	Capsule_4.k141_102741_3/51-395	Capsule_4.k141_102741_3	604.5
Capsule_4	H15_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	315	153.177	Capsule_4.k141_67355_18/11-266	Capsule_4.k141_67355_18	446.9
Capsule_4	H15_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	0	0	Capsule_4.k141_102741_4/3-237	Capsule_4.k141_102741_4	398.6
Capsule_4	H15_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	1	0.59284	Capsule_4.k141_102741_3/4-307	Capsule_4.k141_102741_3	222.5
Capsule_4	H15_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	315	153.177	Capsule_4.k141_67355_18/21-362	Capsule_4.k141_67355_18	238.8
Capsule_4	H15_1_dsrAB_col8score_RPKM.txt	8703_17	k141_67355	16731	18047	+	1317	312	167.27	Capsule_4.k141_67355_17/63-344	Capsule_4.k141_67355_17	169.0
Capsule_4	H15_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	0	0	Capsule_4.k141_102741_4/8-283	Capsule_4.k141_102741_4	190.5
Capsule_4	H23_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	3	0.255081	Capsule_4.k141_102741_3/51-395	Capsule_4.k141_102741_3	604.5
Capsule_4	H23_1_dsrAB_col8score_RPKM.txt	8703_18	k141_67355	18066	19517	+	1452	1722	120.098	Capsule_4.k141_67355_18/11-266	Capsule_4.k141_67355_18	446.9
Capsule_4	H23_1_dsrAB_col8score_RPKM.txt	18904_4	k141_102741	2111	2959	+	849	0	0	Capsule_4.k141_102741_4/3-237	Capsule_4.k141_102741_4	398.6
Capsule_4	H23_1_dsrAB_col8score_RPKM.txt	18904_3	k141_102741	869	2059	+	1191	3	0.255081	Capsule_4.k141_102741_3/4-307	Capsule_4.k141_102741_3	222.5
