Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_12/M12_2.bam	RPKM	geneLoc	geneNum	Score
15426_32	k141_262984	37294	38349	+	1056	29	1.75556	Capsule_12.k141_262984_32/8-336	Capsule_12.k141_262984_32	264.6
15426_31	k141_262984	36052	37242	+	1191	39	2.09332	Capsule_12.k141_262984_31/4-307	Capsule_12.k141_262984_31	222.5
61991_12	k141_258154	12057	13508	+	1452	0	0	Capsule_12.k141_258154_12/21-362	Capsule_12.k141_258154_12	238.2
50883_5	k141_56832	3884	5029	+	1146	0	0	Capsule_12.k141_56832_5/21-361	Capsule_12.k141_56832_5	238.1
61991_11	k141_258154	10722	12038	+	1317	0	0	Capsule_12.k141_258154_11/63-344	Capsule_12.k141_258154_11	169.0
50883_4	k141_56832	2552	3865	+	1314	0	0	Capsule_12.k141_56832_4/4-418	Capsule_12.k141_56832_4	206.6
50883_4	k141_56832	2552	3865	+	1314	0	0	Capsule_12.k141_56832_4/63-436	Capsule_12.k141_56832_4	645.1
61991_11	k141_258154	10722	12038	+	1317	0	0	Capsule_12.k141_258154_11/64-437	Capsule_12.k141_258154_11	641.7
15426_31	k141_262984	36052	37242	+	1191	39	2.09332	Capsule_12.k141_262984_31/51-395	Capsule_12.k141_262984_31	606.1
61991_12	k141_258154	12057	13508	+	1452	0	0	Capsule_12.k141_258154_12/11-266	Capsule_12.k141_258154_12	447.1
50883_5	k141_56832	3884	5029	+	1146	0	0	Capsule_12.k141_56832_5/11-266	Capsule_12.k141_56832_5	444.3
15426_32	k141_262984	37294	38349	+	1056	29	1.75556	Capsule_12.k141_262984_32/3-237	Capsule_12.k141_262984_32	397.6
