Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_14/E5_2.bam	RPKM	geneLoc	geneNum	Score
6532_2	k141_240693	655	1800	+	1146	0	0	Stool_14.k141_240693_2/20-361	Stool_14.k141_240693_2	241.4
86802_3	k141_186679	1380	2831	-	1452	0	0	Stool_14.k141_186679_3/21-362	Stool_14.k141_186679_3	239.5
5722_2	k141_240512	656	1801	+	1146	0	0	Stool_14.k141_240512_2/20-361	Stool_14.k141_240512_2	238.9
25787_2	k141_27652	104	1549	+	1446	0	0	Stool_14.k141_27652_2/21-364	Stool_14.k141_27652_2	231.2
86802_4	k141_186679	2850	4166	-	1317	0	0	Stool_14.k141_186679_4/62-342	Stool_14.k141_186679_4	168.1
86802_4	k141_186679	2850	4166	-	1317	0	0	Stool_14.k141_186679_4/64-437	Stool_14.k141_186679_4	641.1
25787_2	k141_27652	104	1549	+	1446	0	0	Stool_14.k141_27652_2/11-266	Stool_14.k141_27652_2	449.5
86802_3	k141_186679	1380	2831	-	1452	0	0	Stool_14.k141_186679_3/11-266	Stool_14.k141_186679_3	445.0
5722_2	k141_240512	656	1801	+	1146	0	0	Stool_14.k141_240512_2/11-266	Stool_14.k141_240512_2	446.5
6532_2	k141_240693	655	1800	+	1146	0	0	Stool_14.k141_240693_2/11-266	Stool_14.k141_240693_2	446.0
6532_1	k141_240693	2	637	+	636	4	0.41482	Stool_14.k141_240693_1/2-210	Stool_14.k141_240693_1	300.5
6532_10	k141_240693	10643	11833	+	1191	0	0	Stool_14.k141_240693_1/2-210	Stool_14.k141_240693_1	300.5
6532_11	k141_240693	11853	12185	+	333	0	0	Stool_14.k141_240693_1/2-210	Stool_14.k141_240693_1	300.5
6532_12	k141_240693	12637	13839	+	1203	4	0.219306	Stool_14.k141_240693_1/2-210	Stool_14.k141_240693_1	300.5
6532_13	k141_240693	13993	15222	+	1230	2	0.107246	Stool_14.k141_240693_1/2-210	Stool_14.k141_240693_1	300.5
5722_1	k141_240512	2	637	+	636	0	0	Stool_14.k141_240512_1/2-210	Stool_14.k141_240512_1	298.0
29182_5	k141_220955	2672	3199	+	528	0	0	Stool_14.k141_220955_5/63-175	Stool_14.k141_220955_5	207.6
5722_5	k141_240512	4767	5294	+	528	0	0	Stool_14.k141_240512_5/63-175	Stool_14.k141_240512_5	207.3
