# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_11_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_11/J21_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_11/J21_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_11/J21_2.bam	RPKG
1_1	k141_271344	3	170	-	168	2	0.0120376
1_2	k141_271344	268	1047	-	780	5	0.00648178
2_1	k141_67836	1	360	-	360	0	0
2_2	k141_67836	372	1004	-	633	0	0
2_3	k141_67836	1001	1084	-	84	0	0
3_1	k141_288303	1	741	-	741	0	0
3_2	k141_288303	731	2050	-	1320	0	0
4_1	k141_254385	71	1003	-	933	0	0
4_2	k141_254385	1104	1316	+	213	0	0
4_3	k141_254385	1760	2128	+	369	0	0
5_1	k141_305263	316	1323	-	1008	0	0
6_1	k141_135673	2	208	-	207	0	0
6_2	k141_135673	506	1855	+	1350	0	0
7_1	k141_16961	3	749	-	747	0	0
7_2	k141_16961	742	1329	-	588	2	0.00343931
7_3	k141_16961	1501	1656	-	156	0	0
8_1	k141_152635	2	154	-	153	0	0
8_2	k141_152635	170	283	-	114	0	0
8_3	k141_152635	490	1302	+	813	5	0.00621868
9_1	k141_118713	2	2977	-	2976	0	0
9_2	k141_118713	3335	3736	-	402	0	0
9_3	k141_118713	3750	4187	-	438	0	0
10_1	k141_220472	2	961	+	960	0	0
10_2	k141_220472	1099	1494	+	396	2	0.00510686
11_1	k141_84801	261	1022	-	762	51	0.0676759
12_1	k141_101757	1	1185	-	1185	0	0
12_2	k141_101757	1847	2344	+	498	0	0
13_1	k141_169597	3	356	+	354	0	0
13_2	k141_169597	379	1359	+	981	0	0
14_1	k141_16962	2	868	+	867	3	0.00349882
14_2	k141_16962	1156	1308	+	153	3	0.0198266
15_1	k141_288305	192	1358	+	1167	0	0
15_2	k141_288305	1380	2555	+	1176	0	0
16_1	k141_203514	3	1091	+	1089	0	0
16_2	k141_203514	1253	1804	+	552	0	0
17_1	k141_254390	2	868	+	867	0	0
17_2	k141_254390	930	1415	+	486	0	0
17_3	k141_254390	1428	1823	+	396	0	0
18_1	k141_135679	2	1918	+	1917	7	0.00369228
19_1	k141_67841	1	579	-	579	3	0.00523916
19_2	k141_67841	672	1559	+	888	0	0
19_3	k141_67841	1643	2017	+	375	0	0
19_4	k141_67841	2010	2522	+	513	0	0
19_5	k141_67841	2524	2985	+	462	0	0
20_1	k141_152637	421	1503	+	1083	1	0.000933664
20_2	k141_152637	1594	1800	+	207	0	0
21_1	k141_118717	1	1509	+	1509	0	0
21_2	k141_118717	1509	1877	+	369	0	0
22_1	k141_16964	1	621	+	621	0	0
22_2	k141_16964	640	1680	+	1041	0	0
22_3	k141_16964	1693	1758	+	66	0	0
23_1	k141_33933	82	570	+	489	0	0
23_2	k141_33933	451	1200	-	750	0	0
24_1	k141_220474	2	1582	+	1581	0	0
24_2	k141_220474	1747	3096	+	1350	0	0
25_1	k141_16967	1	1239	-	1239	0	0
25_2	k141_16967	1317	1451	-	135	0	0
26_1	k141_220475	3	650	+	648	0	0
26_2	k141_220475	736	1134	-	399	0	0
27_1	k141_33934	2	940	+	939	0	0
27_2	k141_33934	1703	1789	+	87	0	0
28_1	k141_50887	205	699	+	495	0	0
28_2	k141_50887	716	967	+	252	0	0
28_3	k141_50887	967	1812	+	846	0	0
28_4	k141_50887	2053	2748	-	696	0	0
28_5	k141_50887	2749	3510	-	762	0	0
28_6	k141_50887	3535	3858	+	324	0	0
29_1	k141_118719	3	872	-	870	0	0
29_2	k141_118719	900	1844	-	945	4	0.00428003
30_1	k141_6	3	287	-	285	8	0.0283834
30_2	k141_6	328	1317	-	990	101	0.103159
30_3	k141_6	1343	1963	-	621	165	0.268665
30_4	k141_6	1997	2386	-	390	57	0.147785
30_5	k141_6	2403	2759	-	357	24	0.067977
30_6	k141_6	2823	3251	+	429	4	0.00942804
30_7	k141_6	3054	4385	-	1332	36	0.0273286
30_8	k141_6	4393	4827	-	435	56	0.130172
30_9	k141_6	4831	5010	-	180	0	0
30_10	k141_6	5017	5517	-	501	58	0.11706
30_11	k141_6	5532	5885	-	354	68	0.194234
30_12	k141_6	5895	6428	-	534	57	0.107933
31_1	k141_152641	2	568	-	567	0	0
31_2	k141_152641	570	941	-	372	4	0.0108727
31_3	k141_152641	929	1630	-	702	0	0
31_4	k141_152641	1608	2477	-	870	0	0
32_1	k141_169609	2	280	+	279	0	0
32_2	k141_169609	348	1265	-	918	0	0
33_1	k141_135684	3	539	+	537	5	0.00941488
33_2	k141_135684	637	2181	+	1545	17	0.011126
33_3	k141_135684	2493	3155	+	663	10	0.0152512
33_4	k141_135684	3381	4187	+	807	10	0.0125298
34_1	k141_16968	2	208	+	207	0	0
34_2	k141_16968	205	765	+	561	0	0
34_3	k141_16968	834	1271	-	438	0	0
34_4	k141_16968	1833	2453	+	621	0	0
35_1	k141_50890	3	131	+	129	0	0
35_2	k141_50890	124	972	+	849	0	0
35_3	k141_50890	975	1511	+	537	0	0
36_1	k141_254398	3	218	+	216	0	0
36_2	k141_254398	240	749	+	510	0	0
36_3	k141_254398	789	1637	+	849	0	0
36_4	k141_254398	1654	2451	+	798	0	0
36_5	k141_254398	2454	3080	+	627	0	0
37_1	k141_84805	3	419	-	417	108	0.261883
37_2	k141_84805	510	1883	+	1374	369	0.271555
37_3	k141_84805	2023	3288	+	1266	87	0.0694871
37_4	k141_84805	3389	4816	+	1428	102	0.0722256
37_5	k141_84805	4833	6233	+	1401	89	0.0642349
38_1	k141_220479	99	947	+	849	3	0.003573
38_2	k141_220479	941	1273	+	333	0	0
39_1	k141_169611	93	1250	+	1158	0	0
40_1	k141_203533	1	708	+	708	0	0
40_2	k141_203533	709	1143	+	435	0	0
41_1	k141_135687	2	97	+	96	0	0
41_2	k141_135687	158	1072	+	915	0	0
42_1	k141_186570	40	327	-	288	0	0
42_2	k141_186570	335	694	-	360	0	0
42_3	k141_186570	694	1080	-	387	0	0
42_4	k141_186570	1080	1802	-	723	0	0
42_5	k141_186570	1968	2789	-	822	3	0.00369036
42_6	k141_186570	3027	3245	+	219	0	0
42_7	k141_186570	3297	3485	-	189	0	0
43_1	k141_288319	1	444	-	444	0	0
43_2	k141_288319	563	1834	+	1272	0	0
43_3	k141_288319	1867	1962	-	96	0	0
44_1	k141_16969	347	862	-	516	0	0
44_2	k141_16969	1280	1765	-	486	0	0
44_3	k141_16969	1798	1899	-	102	0	0
45_1	k141_203534	3	785	-	783	0	0
45_2	k141_203534	782	1054	-	273	0	0
46_1	k141_16	2	61	-	60	0	0
46_2	k141_16	58	378	-	321	11	0.0346503
46_3	k141_16	407	982	-	576	13	0.0228213
46_4	k141_16	979	1182	-	204	9	0.0446099
46_5	k141_16	1195	1398	-	204	3	0.01487
46_6	k141_16	1530	1904	-	375	22	0.0593213
46_7	k141_16	1926	2327	-	402	1	0.00251532
47_1	k141_135688	2	661	+	660	0	0
47_2	k141_135688	872	1066	-	195	0	0
48_1	k141_118727	3	1070	-	1068	5	0.00473388
48_2	k141_118727	1083	2459	-	1377	0	0
49_1	k141_203536	3	1046	+	1044	0	0
50_1	k141_152646	3	314	+	312	0	0
50_2	k141_152646	314	916	+	603	3	0.00503064
50_3	k141_152646	1017	1235	-	219	0	0
50_4	k141_152646	1345	3216	-	1872	2	0.0010803
51_1	k141_67849	2	268	+	267	0	0
51_2	k141_67849	274	678	+	405	3	0.00749006
51_3	k141_67849	852	1280	+	429	6	0.0141421
51_4	k141_67849	1328	2125	+	798	4	0.00506846
51_5	k141_67849	2163	4622	+	2460	21	0.00863183
51_6	k141_67849	4637	5548	+	912	22	0.024392
52_1	k141_19	261	1382	-	1122	13	0.0117157
53_1	k141_50899	1	1137	+	1137	0	0
54_1	k141_152647	2	706	-	705	3	0.0043028
54_2	k141_152647	727	1194	-	468	1	0.00216059
55_1	k141_67851	3	455	-	453	2	0.00446427
55_2	k141_67851	541	1023	-	483	5	0.0104675
56_1	k141_186577	2	1075	+	1074	13	0.0122393
56_2	k141_186577	1091	1402	+	312	4	0.0129636
57_1	k141_135694	131	1297	-	1167	0	0
58_1	k141_101760	289	435	+	147	0	0
58_2	k141_101760	607	774	-	168	0	0
58_3	k141_101760	920	1528	-	609	0	0
58_4	k141_101760	1861	2010	-	150	0	0
58_5	k141_101760	2031	4007	-	1977	0	0
58_6	k141_101760	4027	4239	-	213	0	0
58_7	k141_101760	4434	5384	-	951	0	0
58_8	k141_101760	5993	7285	-	1293	0	0
58_9	k141_101760	7422	8132	-	711	0	0
58_10	k141_101760	8147	9082	-	936	0	0
58_11	k141_101760	9179	10108	-	930	0	0
58_12	k141_101760	10227	10724	-	498	0	0
58_13	k141_101760	10928	11458	-	531	0	0
58_14	k141_101760	11711	11809	+	99	0	0
59_1	k141_169619	2	592	-	591	6	0.0102656
59_2	k141_169619	602	1291	-	690	5	0.00732723
59_3	k141_169619	1306	2517	-	1212	11	0.00917717
59_4	k141_169619	2545	2946	-	402	6	0.0150919
60_1	k141_254401	596	1312	-	717	6	0.00846157
60_2	k141_254401	1309	3798	-	2490	27	0.0109644
60_3	k141_254401	3877	5811	-	1935	17	0.00888356
61_1	k141_203546	161	1270	-	1110	6	0.00546572
62_1	k141_16981	3	1682	-	1680	0	0
63_1	k141_186582	3	1622	-	1620	0	0
64_1	k141_135698	3	374	+	372	2	0.00543633
64_2	k141_135698	365	1144	+	780	1	0.00129636
65_1	k141_169623	112	708	-	597	0	0
65_2	k141_169623	705	1457	-	753	0	0
65_3	k141_169623	1441	1788	-	348	0	0
66_1	k141_203547	3	95	-	93	1	0.0108727
66_2	k141_203547	612	1103	+	492	0	0
66_3	k141_203547	1260	1382	+	123	0	0
67_1	k141_152661	2	991	+	990	0	0
67_2	k141_152661	1085	1228	+	144	0	0
68_1	k141_254406	1	1206	-	1206	0	0
69_1	k141_28	1	399	-	399	0	0
69_2	k141_28	650	1990	+	1341	1	0.000754033
70_1	k141_118728	195	1862	+	1668	19	0.011518
70_2	k141_118728	1931	2611	-	681	5	0.00742407
70_3	k141_118728	2871	3902	+	1032	4	0.00391922
70_4	k141_118728	3927	4427	+	501	0	0
70_5	k141_118728	4450	5964	+	1515	1	0.000667431
70_6	k141_118728	5988	6620	+	633	0	0
71_1	k141_101763	3	122	+	120	2	0.0168526
71_2	k141_101763	1157	1834	+	678	8	0.0119311
71_3	k141_101763	1939	2391	+	453	5	0.0111607
71_4	k141_101763	2421	2660	+	240	0	0
71_5	k141_101763	3192	3398	+	207	7	0.0341937
72_1	k141_16990	1	198	-	198	0	0
72_2	k141_16990	206	409	-	204	0	0
72_3	k141_16990	660	1031	+	372	0	0
73_1	k141_254407	2	910	-	909	0	0
73_2	k141_254407	1068	1337	-	270	0	0
74_1	k141_84807	3	206	-	204	1	0.00495666
74_2	k141_84807	218	3400	-	3183	22	0.00698884
74_3	k141_84807	3387	4421	-	1035	10	0.00976964
74_4	k141_84807	4629	5123	-	495	6	0.0122565
74_5	k141_84807	5120	5536	-	417	5	0.0121242
74_6	k141_84807	5548	6195	-	648	6	0.00936257
74_7	k141_84807	6204	6839	-	636	6	0.00953922
74_8	k141_84807	6841	9402	-	2562	26	0.0102616
75_1	k141_31	259	1017	+	759	5	0.00666112
76_1	k141_135703	3	476	+	474	4	0.00853298
76_2	k141_135703	661	1677	+	1017	9	0.0089483
77_1	k141_101766	3	758	+	756	0	0
77_2	k141_101766	823	1236	+	414	0	0
78_1	k141_186590	2	157	-	156	0	0
78_2	k141_186590	147	1163	-	1017	0	0
78_3	k141_186590	1191	1847	-	657	1	0.00153905
79_1	k141_254408	3	1850	-	1848	0	0
80_1	k141_101767	1	798	-	798	0	0
80_2	k141_101767	974	1153	+	180	0	0
