hit_id,query_id,biosample_id,closest_ref,distance,SRM_present
UEPQ01.62.1_13/64-437,UEPQ01,SAMN06115483,['Bilophila_wadsworthia__BilWads6'],1.50000025001454e-06,True
UEPQ01.62.1_14/11-266,UEPQ01,SAMN06115483,['Bilophila_wadsworthia__BilWads6'],1.50000025001454e-06,True
OQDE01.41009.1_2/1-77,OQDE01,SAMD00036307,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA,True
OWXA01.5389.1_2/11-266,OWXA01,SAMN05827029,['uncultured_bacterium__EF645667'],0.15906227619024632,True
OWXA01.5389.1_1/97-239,OWXA01,SAMN05827029,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.07537209127422978,True
UPFD01.8591.1_2/63-436,UPFD01,SAMEA2737666,['Desulfovibrio_piger__DslPige4'],0.014125787680788404,True
UPFD01.8591.1_3/11-266,UPFD01,SAMEA2737666,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.05787678768078841,True
UPMZ01.5950.1_5/51-395,UPMZ01,SAMEA2737808,['Gordonibacter_pamelaeae_7-10-1-b__FP929047'],0.007599695173570389,True
UPMZ01.5950.1_6/3-237,UPMZ01,SAMEA2737808,['Gordonibacter_pamelaeae__GrdPame5'],0.003385221029669648,True
UPMZ01.79208.1_1/11-136,UPMZ01,SAMEA2737808,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA,True
UPMZ01.44144.1_1/64-137,UPMZ01,SAMEA2737808,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA,True
ORSC01.82376.1_1/1-172,ORSC01,SAMEA2338681,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],0.9758065398282183,True
UEYD01.35306.1_1/33-281,UEYD01,SAMN06115506,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA,True
OPSF01.12557.1_1/64-428,OPSF01,SAMEA2042111,['Desulfovibrio_piger__DslPige4'],0.060520091274229776,True
QWCE01.3417.1_7/64-437,QWCE01,SAMN09866716,['Bilophila_wadsworthia__BilWads6'],1.50000025001454e-06,True
QWCE01.34300.1_2/44-392,QWCE01,SAMN09866716,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.2896165398282184,True
QWCE01.3417.1_6/11-266,QWCE01,SAMN09866716,['Bilophila_wadsworthia__BilWads6'],1.50000025001454e-06,True
QWCE01.148739.1_1/3-193,QWCE01,SAMN09866716,['Gordonibacter_pamelaeae__GrdPame5'],0.2875047043931652,True
QWCE01.143185.1_1/1-188,QWCE01,SAMN09866716,[],,False
QWCE01.34300.1_3/4-136,QWCE01,SAMN09866716,['Thermodesulfobium_narugense__CP002690'],1.8472090345810255,True
OWCY01.6912.1_3/63-436,OWCY01,SAMEA3708620,['Desulfovibrio_piger__DslPige2'],0.021627521469858798,True
OWCY01.6912.1_2/11-266,OWCY01,SAMEA3708620,['Desulfovibrio_piger__DslPige3'],0.029669787680788404,True
OWCY01.44532.1_1/11-266,OWCY01,SAMEA3708620,['Bilophila_wadsworthia__BilWads6'],1.50000025001454e-06,True
ORRJ01.13417.1_2/63-436,ORRJ01,SAMEA2338649,['Desulfovibrio_piger__DslPige3'],0.026406787680788406,True
ORRJ01.22585.1_1/1-245,ORRJ01,SAMEA2338649,['Bilophila_wadsworthia__BilWads6'],0.13279537050242685,True
UERO01.20183.1_1/64-437,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],1.50000025001454e-06,True
UERO01.11922.1_1/1-118,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],0.12230137050242683,True
UERO01.20183.1_2/11-91,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],0.28534437050242684,True
OPAP01.30399.1_1/1-90,OPAP01,SAMEA1967055,"['Bilophila_wadsworthia__BilWads6', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA,True
OURY01.49778.1_1/1-252,OURY01,SAMEA2338638,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.1674345398282182,True
OYXC01.9658.1_1/11-266,OYXC01,SAMN06165016,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.039040787680788405,True
OYXC01.9658.1_2/1-228,OYXC01,SAMN06165016,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA,True
USZA01.13236.1_3/38-305,USZA01,SAMN06112073,['Bilophila_wadsworthia__BilWads6'],0.14716137050242684,True
USZA01.18536.1_1/63-204,USZA01,SAMN06112073,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA,True
USZA01.41154.1_2/6-173,USZA01,SAMN06112073,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.1260298848764339,True
USZA01.16685.1_1/1-148,USZA01,SAMN06112073,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA,True
