Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_7/E14_2.bam	RPKG	geneLoc	geneNum	Score
32054_12	k141_58650	8779	9795	-	1017	6	0.283905	Capsule_7.k141_58650_12/1-335	Capsule_7.k141_58650_12	520.4
11585_106	k141_118025	116411	117424	+	1014	0	0	Capsule_7.k141_118025_106/1-334	Capsule_7.k141_118025_106	508.2
9501_4	k141_78781	2182	3180	-	999	1	0.0481701	Capsule_7.k141_78781_4/1-328	Capsule_7.k141_78781_4	486.1
18212_14	k141_220890	10793	11794	-	1002	0	0	Capsule_7.k141_220890_14/1-330	Capsule_7.k141_220890_14	463.4
9501_3	k141_78781	1392	2180	-	789	0	0	Capsule_7.k141_78781_3/3-262	Capsule_7.k141_78781_3	432.8
32054_11	k141_58650	7988	8782	-	795	0	0	Capsule_7.k141_58650_11/4-264	Capsule_7.k141_58650_11	429.4
11585_107	k141_118025	117417	118211	+	795	0	0	Capsule_7.k141_118025_107/4-264	Capsule_7.k141_118025_107	421.0
18212_13	k141_220890	10001	10792	-	792	0	0	Capsule_7.k141_220890_13/4-263	Capsule_7.k141_220890_13	418.5
32054_10	k141_58650	7014	7976	-	963	5	0.249854	Capsule_7.k141_58650_10/2-315	Capsule_7.k141_58650_10	559.3
11585_108	k141_118025	118224	119189	+	966	0	0	Capsule_7.k141_118025_108/2-315	Capsule_7.k141_118025_108	543.3
9501_2	k141_78781	413	1378	-	966	0	0	Capsule_7.k141_78781_2/2-315	Capsule_7.k141_78781_2	527.0
18212_12	k141_220890	9009	9989	-	981	0	0	Capsule_7.k141_220890_12/4-317	Capsule_7.k141_220890_12	518.4
