Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_7/E16_2.bam	RPKM	geneLoc	geneNum	Score
4192_11	k141_13716	10717	12033	+	1317	0	0	Capsule_7.k141_13716_11/64-437	Capsule_7.k141_13716_11	641.7
27823_6	k141_83721	4517	5707	+	1191	0	0	Capsule_7.k141_83721_6/51-395	Capsule_7.k141_83721_6	606.1
33261_14	k141_250498	12516	13730	-	1215	0	0	Capsule_7.k141_250498_14/55-399	Capsule_7.k141_250498_14	572.3
4192_12	k141_13716	12052	13503	+	1452	0	0	Capsule_7.k141_13716_12/11-266	Capsule_7.k141_13716_12	447.1
27823_7	k141_83721	5759	6814	+	1056	0	0	Capsule_7.k141_83721_7/3-237	Capsule_7.k141_83721_7	396.7
33261_13	k141_250498	11428	12516	-	1089	0	0	Capsule_7.k141_250498_13/5-240	Capsule_7.k141_250498_13	375.3
4127_1	k141_205318	370	2235	-	1866	0	0	Capsule_7.k141_205318_1/340-593	Capsule_7.k141_205318_1	105.2
33261_13	k141_250498	11428	12516	-	1089	0	0	Capsule_7.k141_250498_13/12-350	Capsule_7.k141_250498_13	276.6
27823_7	k141_83721	5759	6814	+	1056	0	0	Capsule_7.k141_83721_7/8-336	Capsule_7.k141_83721_7	260.8
27823_6	k141_83721	4517	5707	+	1191	0	0	Capsule_7.k141_83721_6/4-307	Capsule_7.k141_83721_6	222.5
33261_14	k141_250498	12516	13730	-	1215	0	0	Capsule_7.k141_250498_14/7-374	Capsule_7.k141_250498_14	238.5
4192_12	k141_13716	12052	13503	+	1452	0	0	Capsule_7.k141_13716_12/21-362	Capsule_7.k141_13716_12	238.2
4192_11	k141_13716	10717	12033	+	1317	0	0	Capsule_7.k141_13716_11/63-344	Capsule_7.k141_13716_11	169.0
