# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_4_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_4/L23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_4/L23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_4/L23_1.bam	RPKG
1_1	k141_32754	1	870	-	870	7	0.0104922
1_2	k141_32754	915	1007	-	93	0	0
2_1	k141_65508	2	403	-	402	0	0
2_2	k141_65508	597	1247	+	651	0	0
2_3	k141_65508	1295	1636	+	342	0	0
3_1	k141_21837	3	1214	+	1212	2	0.00215186
4_1	k141_196519	227	1276	+	1050	0	0
5_1	k141_163769	3	1013	+	1011	0	0
6_1	k141_43674	1	1428	+	1428	3	0.00273955
6_2	k141_43674	1658	1741	+	84	1	0.0155241
7_1	k141_141936	3	1685	+	1683	14	0.0108475
8_1	k141_196521	1	1335	+	1335	0	0
9_1	k141_76431	55	393	-	339	0	0
9_2	k141_76431	1004	1153	+	150	0	0
10_1	k141_152852	2	334	+	333	0	0
10_2	k141_152852	525	1988	+	1464	8	0.00712582
11_1	k141_65509	3	1148	+	1146	1	0.00113789
11_2	k141_65509	1460	1681	-	222	2	0.011748
11_3	k141_65509	2550	2840	-	291	0	0
11_4	k141_65509	2806	2877	-	72	0	0
12_1	k141_120103	1	84	-	84	1	0.0155241
12_2	k141_120103	139	1659	-	1521	3	0.00257204
13_1	k141_54594	1	300	+	300	1	0.00434675
13_2	k141_54594	301	2268	+	1968	2	0.00132523
13_3	k141_54594	2297	2683	+	387	1	0.00336957
14_1	k141_109188	3	1709	-	1707	0	0
15_1	k141_2	1	324	+	324	2	0.00804954
15_2	k141_2	445	1143	+	699	3	0.00559667
15_3	k141_2	1150	2304	+	1155	2	0.00225805
15_4	k141_2	2320	2799	-	480	4	0.0108669
15_5	k141_2	2915	3478	+	564	1	0.0023121
15_6	k141_2	3564	3839	+	276	1	0.00472473
16_1	k141_32759	3	731	-	729	1	0.00178879
16_2	k141_32759	956	1225	+	270	0	0
16_3	k141_32759	1317	2477	-	1161	0	0
17_1	k141_10922	2	205	+	204	0	0
17_2	k141_10922	373	561	+	189	0	0
17_3	k141_10922	518	1246	+	729	1	0.00178879
17_4	k141_10922	1253	2170	+	918	7	0.00994354
17_5	k141_10922	2307	3233	+	927	5	0.00703357
17_6	k141_10922	3226	3537	+	312	0	0
18_1	k141_87344	2	1069	+	1068	190	0.231989
18_2	k141_87344	1161	2267	+	1107	279	0.328657
18_3	k141_87344	2465	3232	+	768	210	0.356569
18_4	k141_87344	3285	4409	-	1125	61	0.0707071
18_5	k141_87344	4699	4803	+	105	53	0.658222
18_6	k141_87344	5079	6077	+	999	256	0.334164
19_1	k141_131027	3	173	-	171	0	0
