coassembly	sample	geneID	contig	start	stop	strand	length	mapped	RPKM	geneLoc	geneNum	Score
Stool_2	C7_1	180868_3	k141_180868	1527	2840	+	1314	25	2.66634	Stool_2.k141_180868_3/4-418	Stool_2.k141_180868_3	204.4
Stool_2	C7_1	117145_1	k141_117145	1	708	+	708	6	1.18765	Stool_2.k141_117145_1/2-215	Stool_2.k141_117145_1	145.1
Stool_2	C7_1	180868_3	k141_180868	1527	2840	+	1314	25	2.66634	Stool_2.k141_180868_3/63-436	Stool_2.k141_180868_3	642.3
Stool_2	C7_1	117145_1	k141_117145	1	708	+	708	6	1.18765	Stool_2.k141_117145_1/1-120	Stool_2.k141_117145_1	201.5
Stool_2	C7_1	180868_4	k141_180868	2859	3299	+	441	4	1.27114	Stool_2.k141_180868_4/11-147	Stool_2.k141_180868_4	216.9
Stool_2	C9_1	180868_3	k141_180868	1527	2840	+	1314	32	2.15797	Stool_2.k141_180868_3/4-418	Stool_2.k141_180868_3	204.4
Stool_2	C9_1	117145_1	k141_117145	1	708	+	708	13	1.62705	Stool_2.k141_117145_1/2-215	Stool_2.k141_117145_1	145.1
Stool_2	C9_1	180868_3	k141_180868	1527	2840	+	1314	32	2.15797	Stool_2.k141_180868_3/63-436	Stool_2.k141_180868_3	642.3
Stool_2	C9_1	117145_1	k141_117145	1	708	+	708	13	1.62705	Stool_2.k141_117145_1/1-120	Stool_2.k141_117145_1	201.5
Stool_2	C9_1	180868_4	k141_180868	2859	3299	+	441	12	2.4112	Stool_2.k141_180868_4/11-147	Stool_2.k141_180868_4	216.9
Stool_12	C1_2	28767_4	k141_28767	2542	3855	+	1314	20	0.778305	Stool_12.k141_28767_4/63-436	Stool_12.k141_28767_4	645.1
Stool_12	C1_2	103584_11	k141_103584	10588	11904	+	1317	52	2.01898	Stool_12.k141_103584_11/64-437	Stool_12.k141_103584_11	641.7
Stool_12	C1_2	304901_1	k141_304901	3	1094	+	1092	0	0	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
Stool_12	C1_2	103584_12	k141_103584	11923	13374	+	1452	48	1.6904	Stool_12.k141_103584_12/11-266	Stool_12.k141_103584_12	447.1
Stool_12	C1_2	28767_5	k141_28767	3874	4683	+	810	12	0.75755	Stool_12.k141_28767_5/11-266	Stool_12.k141_28767_5	445.5
Stool_12	C1_2	304901_2	k141_304901	1146	2201	+	1056	0	0	Stool_12.k141_304901_2/3-237	Stool_12.k141_304901_2	397.6
Stool_12	C1_2	304901_2	k141_304901	1146	2201	+	1056	0	0	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
Stool_12	C1_2	304901_1	k141_304901	3	1094	+	1092	0	0	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
Stool_12	C1_2	103584_12	k141_103584	11923	13374	+	1452	48	1.6904	Stool_12.k141_103584_12/21-362	Stool_12.k141_103584_12	238.2
Stool_12	C1_2	103584_11	k141_103584	10588	11904	+	1317	52	2.01898	Stool_12.k141_103584_11/63-344	Stool_12.k141_103584_11	169.0
Stool_12	C1_2	28767_4	k141_28767	2542	3855	+	1314	20	0.778305	Stool_12.k141_28767_4/4-418	Stool_12.k141_28767_4	206.6
Stool_12	C1_2	28767_5	k141_28767	3874	4683	+	810	12	0.75755	Stool_12.k141_28767_5/20-268	Stool_12.k141_28767_5	138.6
Stool_12	C3_2	28767_4	k141_28767	2542	3855	+	1314	2	0.0753075	Stool_12.k141_28767_4/63-436	Stool_12.k141_28767_4	645.1
Stool_12	C3_2	103584_11	k141_103584	10588	11904	+	1317	13	0.488384	Stool_12.k141_103584_11/64-437	Stool_12.k141_103584_11	641.7
Stool_12	C3_2	304901_1	k141_304901	3	1094	+	1092	10	0.453087	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
Stool_12	C3_2	103584_12	k141_103584	11923	13374	+	1452	11	0.374826	Stool_12.k141_103584_12/11-266	Stool_12.k141_103584_12	447.1
Stool_12	C3_2	28767_5	k141_28767	3874	4683	+	810	0	0	Stool_12.k141_28767_5/11-266	Stool_12.k141_28767_5	445.5
Stool_12	C3_2	304901_2	k141_304901	1146	2201	+	1056	13	0.609093	Stool_12.k141_304901_2/3-237	Stool_12.k141_304901_2	397.6
Stool_12	C3_2	304901_2	k141_304901	1146	2201	+	1056	13	0.609093	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
Stool_12	C3_2	304901_1	k141_304901	3	1094	+	1092	10	0.453087	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
Stool_12	C3_2	103584_12	k141_103584	11923	13374	+	1452	11	0.374826	Stool_12.k141_103584_12/21-362	Stool_12.k141_103584_12	238.2
Stool_12	C3_2	103584_11	k141_103584	10588	11904	+	1317	13	0.488384	Stool_12.k141_103584_11/63-344	Stool_12.k141_103584_11	169.0
Stool_12	C3_2	28767_4	k141_28767	2542	3855	+	1314	2	0.0753075	Stool_12.k141_28767_4/4-418	Stool_12.k141_28767_4	206.6
Stool_12	C3_2	28767_5	k141_28767	3874	4683	+	810	0	0	Stool_12.k141_28767_5/20-268	Stool_12.k141_28767_5	138.6
Stool_12	C5_2	304901_2	k141_304901	1146	2201	+	1056	20	0.874227	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
Stool_12	C5_2	304901_1	k141_304901	3	1094	+	1092	9	0.380433	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
Stool_12	C5_2	103584_12	k141_103584	11923	13374	+	1452	27	0.858332	Stool_12.k141_103584_12/21-362	Stool_12.k141_103584_12	238.2
Stool_12	C5_2	103584_11	k141_103584	10588	11904	+	1317	27	0.946315	Stool_12.k141_103584_11/63-344	Stool_12.k141_103584_11	169.0
Stool_12	C5_2	28767_4	k141_28767	2542	3855	+	1314	40	1.40515	Stool_12.k141_28767_4/4-418	Stool_12.k141_28767_4	206.6
Stool_12	C5_2	28767_5	k141_28767	3874	4683	+	810	11	0.626853	Stool_12.k141_28767_5/20-268	Stool_12.k141_28767_5	138.6
Stool_12	C5_2	28767_4	k141_28767	2542	3855	+	1314	40	1.40515	Stool_12.k141_28767_4/63-436	Stool_12.k141_28767_4	645.1
Stool_12	C5_2	103584_11	k141_103584	10588	11904	+	1317	27	0.946315	Stool_12.k141_103584_11/64-437	Stool_12.k141_103584_11	641.7
Stool_12	C5_2	304901_1	k141_304901	3	1094	+	1092	9	0.380433	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
Stool_12	C5_2	103584_12	k141_103584	11923	13374	+	1452	27	0.858332	Stool_12.k141_103584_12/11-266	Stool_12.k141_103584_12	447.1
Stool_12	C5_2	28767_5	k141_28767	3874	4683	+	810	11	0.626853	Stool_12.k141_28767_5/11-266	Stool_12.k141_28767_5	445.5
Stool_12	C5_2	304901_2	k141_304901	1146	2201	+	1056	20	0.874227	Stool_12.k141_304901_2/3-237	Stool_12.k141_304901_2	397.6
Stool_12	C7_2	304901_2	k141_304901	1146	2201	+	1056	17	0.813041	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
Stool_12	C7_2	304901_1	k141_304901	3	1094	+	1092	9	0.416243	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
