Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_14/E1_2.bam	RPKG	geneLoc	geneNum	Score
52462_6	k141_274685	3614	4624	-	1011	3	0.00141327	Stool_14.k141_274685_6/1-333	Stool_14.k141_274685_6	527.7
48156_4	k141_416472	1394	2392	+	999	59	0.0281283	Stool_14.k141_416472_4/1-328	Stool_14.k141_416472_4	490.5
90574_2	k141_355173	77	1075	-	999	12	0.005721	Stool_14.k141_355173_2/1-328	Stool_14.k141_355173_2	480.0
68310_1	k141_182105	1	900	+	900	1	0.000529193	Stool_14.k141_182105_1/2-295	Stool_14.k141_182105_1	447.7
98037_1	k141_477868	1	948	-	948	8	0.00401918	Stool_14.k141_477868_1/1-315	Stool_14.k141_477868_1	402.2
52462_5	k141_274685	2823	3617	-	795	1	0.000599086	Stool_14.k141_274685_5/4-264	Stool_14.k141_274685_5	444.9
48156_5	k141_416472	2394	3182	+	789	65	0.0392367	Stool_14.k141_416472_5/3-262	Stool_14.k141_416472_5	434.2
29483_2	k141_387679	243	1031	-	789	1	0.000603642	Stool_14.k141_387679_2/3-262	Stool_14.k141_387679_2	424.2
390_1	k141_430966	1	786	-	786	3	0.00181784	Stool_14.k141_430966_1/3-262	Stool_14.k141_430966_1	331.8
103999_2	k141_405116	529	1317	+	789	10	0.00603642	Stool_14.k141_405116_2/5-262	Stool_14.k141_405116_2	320.7
49387_2	k141_225331	117	908	+	792	4	0.00240542	Stool_14.k141_225331_2/6-263	Stool_14.k141_225331_2	313.7
52462_4	k141_274685	1841	2809	-	969	7	0.00344057	Stool_14.k141_274685_4/3-316	Stool_14.k141_274685_4	565.0
48156_6	k141_416472	3197	4162	+	966	56	0.02761	Stool_14.k141_416472_6/2-315	Stool_14.k141_416472_6	524.6
101081_1	k141_189952	1	981	+	981	15	0.00728247	Stool_14.k141_189952_1/7-320	Stool_14.k141_189952_1	521.8
58381_4	k141_251654	1250	1963	-	714	11	0.00733754	Stool_14.k141_251654_4/1-231	Stool_14.k141_251654_4	397.9
