Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_9/A7_2.bam	RPKG	geneLoc	geneNum	Score
31715_2	k141_270672	655	1800	+	1146	46	0.0107884	Stool_9.k141_270672_2/20-361	Stool_9.k141_270672_2	241.4
31729_2	k141_270673	656	1801	+	1146	20	0.00469059	Stool_9.k141_270673_2/20-361	Stool_9.k141_270673_2	238.9
73453_4	k141_311318	2540	3292	+	753	6	0.0021416	Stool_9.k141_311318_4/61-250	Stool_9.k141_311318_4	125.6
31729_5	k141_270673	4763	5515	+	753	19	0.00678174	Stool_9.k141_270673_5/61-250	Stool_9.k141_270673_5	124.9
31729_2	k141_270673	656	1801	+	1146	20	0.00469059	Stool_9.k141_270673_2/11-266	Stool_9.k141_270673_2	446.5
31715_2	k141_270672	655	1800	+	1146	46	0.0107884	Stool_9.k141_270672_2/11-266	Stool_9.k141_270672_2	446.0
73453_4	k141_311318	2540	3292	+	753	6	0.0021416	Stool_9.k141_311318_4/63-251	Stool_9.k141_311318_4	373.7
31729_5	k141_270673	4763	5515	+	753	19	0.00678174	Stool_9.k141_270673_5/63-251	Stool_9.k141_270673_5	371.6
31729_1	k141_270673	2	637	+	636	5	0.00211298	Stool_9.k141_270673_1/2-210	Stool_9.k141_270673_1	300.2
31715_1	k141_270672	2	637	+	636	16	0.00676153	Stool_9.k141_270672_1/2-210	Stool_9.k141_270672_1	298.3
