# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_10_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_10/A17_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_10/A17_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_10/A17_2.bam	RPKG
1_1	k141_19122	2	232	+	231	7	0.0124415
1_2	k141_19122	293	2194	+	1902	128	0.0276304
2_1	k141_86050	559	1665	+	1107	14	0.00519241
3_1	k141_133853	2	199	+	198	2	0.00414718
3_2	k141_133853	352	1509	+	1158	3	0.00106366
3_3	k141_133853	1683	1901	+	219	0	0
3_4	k141_133853	1898	2539	+	642	1	0.000639519
4_1	k141_124296	3	1004	-	1002	7	0.00286826
5_1	k141_162534	3	875	-	873	3	0.0014109
5_2	k141_162534	1154	2944	+	1791	8	0.00183393
6_1	k141_114733	2	1021	+	1020	322	0.129612
6_2	k141_114733	1021	2397	+	1377	569	0.169655
6_3	k141_114733	2398	3192	+	795	293	0.151317
6_4	k141_114733	3232	3363	+	132	38	0.118195
7_1	k141_105175	1	99	+	99	12	0.0497662
7_2	k141_105175	137	973	-	837	158	0.0775032
7_3	k141_105175	1007	1327	-	321	29	0.0370921
7_4	k141_105175	1324	1611	-	288	38	0.0541726
8_1	k141_9567	364	564	+	201	9	0.0183838
8_2	k141_9567	751	1584	+	834	5	0.00246146
9_1	k141_143421	2	1114	+	1113	10	0.00368887
10_1	k141_19127	15	629	-	615	74	0.049402
10_2	k141_19127	568	978	-	411	33	0.0329656
11_1	k141_172101	1	801	-	801	13	0.00666345
11_2	k141_172101	805	1446	-	642	9	0.00575567
12_1	k141_86055	1	429	+	429	71	0.06795
12_2	k141_86055	564	1148	+	585	49	0.0343897
13_1	k141_95611	608	1843	-	1236	49	0.0162767
13_2	k141_95611	2002	2889	-	888	13	0.00601061
13_3	k141_95611	3175	3942	+	768	20	0.010692
14_1	k141_57373	3	641	+	639	401	0.257651
14_2	k141_57373	953	1858	+	906	828	0.375224
15_1	k141_47807	1	417	+	417	4	0.00393833
15_2	k141_47807	565	1314	+	750	11	0.00602171
15_3	k141_47807	1412	3277	-	1866	48	0.0105613
15_4	k141_47807	3497	3724	-	228	9	0.0162067
16_1	k141_38253	97	1026	+	930	1	0.000441474
16_2	k141_38253	1028	1528	+	501	3	0.00245851
17_1	k141_105178	233	1210	-	978	1	0.000419807
18_1	k141_114734	80	754	+	675	263	0.159971
18_2	k141_114734	891	1064	-	174	94	0.221803
18_3	k141_114734	1250	1804	+	555	258	0.19086
19_1	k141_172102	1	606	-	606	0	0
19_2	k141_172102	622	1332	-	711	6	0.00346473
20_1	k141_124297	1	252	-	252	0	0
20_2	k141_124297	285	377	-	93	0	0
20_3	k141_124297	388	1536	-	1149	19	0.00678925
20_4	k141_124297	1675	2355	-	681	0	0
20_5	k141_124297	2473	3411	+	939	23	0.0100566
21_1	k141_76491	3	161	+	159	0	0
21_2	k141_76491	438	4382	+	3945	39	0.00405888
22_1	k141_152978	3	287	+	285	7	0.0100842
22_2	k141_152978	302	2680	+	2379	170	0.0293388
23_1	k141_19129	138	971	-	834	16	0.00787666
23_2	k141_19129	992	1477	-	486	9	0.00760317
24_1	k141_105180	2	184	+	183	3	0.00673067
24_2	k141_105180	196	786	+	591	5	0.00347353
24_3	k141_105180	885	1067	+	183	0	0
25_1	k141_181668	1	714	-	714	3	0.00172509
25_2	k141_181668	716	1027	-	312	3	0.0039478
26_1	k141_162535	3	1292	+	1290	1022	0.325274
26_2	k141_162535	1469	1888	+	420	274	0.267849
26_3	k141_162535	1878	3080	+	1203	886	0.302382
26_4	k141_162535	3081	3797	+	717	727	0.416297
26_5	k141_162535	3930	4553	+	624	484	0.318456
27_1	k141_114738	2	220	-	219	5	0.00937377
27_2	k141_114738	217	750	-	534	16	0.0123018
27_3	k141_114738	961	1239	-	279	8	0.0117726
28_1	k141_57377	3	110	+	108	0	0
28_2	k141_57377	148	486	+	339	5	0.00605562
28_3	k141_57377	509	1378	+	870	2	0.000943841
28_4	k141_57377	1393	2019	+	627	5	0.00327409
28_5	k141_57377	2110	2175	+	66	0	0
29_1	k141_38255	213	1142	-	930	94	0.0414986
29_2	k141_38255	1099	1932	-	834	153	0.0753206
29_3	k141_38255	1932	2855	-	924	472	0.209729
30_1	k141_47813	348	1607	-	1260	14	0.0045619
31_1	k141_19131	1	942	+	942	463	0.201799
31_2	k141_19131	1097	1417	+	321	218	0.27883
31_3	k141_19131	1654	2052	+	399	393	0.404397
32_1	k141_57378	2	1066	+	1065	16	0.0061682
33_1	k141_66928	1	279	-	279	90	0.132442
33_2	k141_66928	544	2328	+	1785	633	0.145597
33_3	k141_66928	2393	3568	+	1176	524	0.182941
33_4	k141_66928	3678	4262	+	585	193	0.135453
33_5	k141_66928	4289	5398	+	1110	410	0.151652
33_6	k141_66928	5720	7123	+	1404	659	0.192711
33_7	k141_66928	7149	7829	-	681	220	0.132637
33_8	k141_66928	7940	8815	+	876	350	0.164041
33_9	k141_66928	9155	9232	+	78	32	0.168439
34_1	k141_114740	24	1745	+	1722	27	0.00643752
35_1	k141_162538	2	181	+	180	2	0.0045619
35_2	k141_162538	414	830	+	417	9	0.00886124
35_3	k141_162538	821	1168	+	348	4	0.00471921
35_4	k141_162538	1218	1313	+	96	0	0
36_1	k141_47817	3	1124	+	1122	1	0.000365928
36_2	k141_47817	1171	1842	+	672	5	0.00305484
37_1	k141_162539	2	250	+	249	0	0
37_2	k141_162539	258	1169	+	912	4	0.00180075
38_1	k141_38256	155	991	-	837	20	0.00981054
38_2	k141_38256	995	1849	-	855	18	0.0086436
38_3	k141_38256	1999	2775	-	777	18	0.0095113
38_4	k141_38256	3038	3514	+	477	50	0.0430368
39_1	k141_47820	1	807	+	807	0	0
39_2	k141_47820	842	1294	+	453	0	0
40_1	k141_66934	3	170	+	168	0	0
40_2	k141_66934	172	645	+	474	1	0.000866184
40_3	k141_66934	645	1214	+	570	2	0.0014406
41_1	k141_152986	1	510	-	510	11	0.00885545
41_2	k141_152986	989	2419	+	1431	59	0.0169278
41_3	k141_152986	2647	3624	+	978	61	0.0256082
41_4	k141_152986	3878	5404	+	1527	101	0.0271563
41_5	k141_152986	5423	5503	+	81	1	0.00506878
42_1	k141_38258	81	185	-	105	0	0
42_2	k141_38258	203	1762	-	1560	12	0.00315824
43_1	k141_95615	2	160	+	159	0	0
43_2	k141_95615	96	587	-	492	182	0.151878
43_3	k141_95615	1098	1517	-	420	189	0.184757
43_4	k141_95615	1514	2308	-	795	302	0.155965
43_5	k141_95615	2301	3134	-	834	306	0.150641
43_6	k141_95615	3131	3955	-	825	310	0.154275
43_7	k141_95615	3958	4896	-	939	423	0.184954
43_8	k141_95615	4957	6582	-	1626	801	0.202255
43_9	k141_95615	6750	7412	-	663	280	0.173393
43_10	k141_95615	7421	7654	-	234	118	0.20704
43_11	k141_95615	7821	8072	-	252	207	0.337255
44_1	k141_114741	1	255	-	255	14	0.0225412
44_2	k141_114741	271	1071	-	801	76	0.0389555
44_3	k141_114741	1293	3143	+	1851	158	0.035046
44_4	k141_114741	3218	3406	+	189	21	0.045619
45_1	k141_105183	2	445	+	444	173	0.159975
45_2	k141_105183	1110	2588	+	1479	602	0.167115
45_3	k141_105183	3306	3962	+	657	134	0.083739
45_4	k141_105183	4026	5435	+	1410	434	0.126374
45_5	k141_105183	5465	6343	+	879	263	0.122844
46_1	k141_162544	3	1082	-	1080	562	0.213649
47_1	k141_152988	21	389	+	369	0	0
47_2	k141_152988	386	1249	+	864	3	0.00142559
48_1	k141_57386	1	291	+	291	7	0.00987628
48_2	k141_57386	301	1023	+	723	35	0.0198755
48_3	k141_57386	1016	2065	+	1050	37	0.0144677
48_4	k141_57386	2062	3129	+	1068	36	0.0138395
49_1	k141_114742	3	488	-	486	7	0.00591357
49_2	k141_114742	547	1125	-	579	16	0.0113457
49_3	k141_114742	1136	1345	-	210	1	0.0019551
50_1	k141_38262	3	395	-	393	9	0.00940239
50_2	k141_38262	388	864	-	477	12	0.0103288
50_3	k141_38262	867	1631	-	765	33	0.0177109
51_1	k141_124298	1	135	-	135	105	0.319333
51_2	k141_124298	216	2033	-	1818	2543	0.574303
51_3	k141_124298	2151	2861	+	711	876	0.505851
51_4	k141_124298	2858	3391	+	534	708	0.544353
51_5	k141_124298	3388	4107	+	720	853	0.486413
51_6	k141_124298	4091	5350	+	1260	1516	0.493989
51_7	k141_124298	5343	6026	+	684	781	0.468795
51_8	k141_124298	6019	6639	+	621	678	0.448256
51_9	k141_124298	6710	8632	+	1923	3730	0.796375
51_10	k141_124298	8794	9324	+	531	690	0.53351
51_11	k141_124298	9490	10095	+	606	745	0.504745
52_1	k141_19132	6	410	-	405	4	0.00405502
52_2	k141_19132	379	807	-	429	14	0.0133986
52_3	k141_19132	811	1113	-	303	8	0.0108402
52_4	k141_19132	1230	2372	-	1143	23	0.00826171
52_5	k141_19132	2411	4039	-	1629	28	0.00705708
52_6	k141_19132	4053	7235	-	3183	76	0.00980314
52_7	k141_19132	7237	7464	-	228	12	0.021609
53_1	k141_95616	2	1213	-	1212	11	0.0037263
53_2	k141_95616	1415	2056	+	642	3	0.00191856
53_3	k141_95616	2139	2390	-	252	15	0.0244387
54_1	k141_162545	121	1665	-	1545	59	0.0156788
54_2	k141_162545	1729	1977	-	249	6	0.00989328
55_1	k141_143423	2	1648	+	1647	17	0.00423783
55_2	k141_143423	2373	2834	-	462	9	0.00799814
55_3	k141_143423	2977	6117	-	3141	72	0.00941137
55_4	k141_143423	6153	6626	-	474	10	0.00866184
55_5	k141_143423	6626	7042	-	417	11	0.0108304
55_6	k141_143423	7049	7702	-	654	12	0.00753341
55_7	k141_143423	7719	8858	-	1140	14	0.0050421
55_8	k141_143423	8935	11511	-	2577	29	0.00462032
55_9	k141_143423	11664	11855	+	192	0	0
56_1	k141_9577	2	427	+	426	187	0.180227
56_2	k141_9577	448	1164	+	717	326	0.186675
56_3	k141_9577	1172	2248	+	1077	626	0.238642
56_4	k141_9577	2245	3114	-	870	387	0.182633
56_5	k141_9577	3237	4673	+	1437	690	0.197143
56_6	k141_9577	4609	5583	-	975	473	0.19918
56_7	k141_9577	5632	6969	-	1338	620	0.19025
56_8	k141_9577	7193	8068	+	876	401	0.187944
56_9	k141_9577	8072	9511	-	1440	741	0.211273
56_10	k141_9577	9543	9767	-	225	50	0.091238
57_1	k141_105186	309	2537	+	2229	58	0.0106833
57_2	k141_105186	2601	2777	+	177	0	0
58_1	k141_66943	1	144	+	144	915	2.60884
58_2	k141_66943	141	626	+	486	10497	8.86783
58_3	k141_66943	791	1102	-	312	4217	5.54929
59_1	k141_95617	1	639	-	639	72	0.0462615
59_2	k141_95617	658	1179	-	522	29	0.0228095
60_1	k141_57388	1	453	+	453	452	0.409665
60_2	k141_57388	702	2684	-	1983	1624	0.336242
61_1	k141_162547	3	323	-	321	259	0.331271
61_2	k141_162547	826	1128	-	303	32	0.0433606
62_1	k141_9578	1	1536	+	1536	40	0.010692
63_1	k141_114746	214	570	+	357	249	0.286365
63_2	k141_114746	773	1102	+	330	170	0.211506
63_3	k141_114746	1063	2391	+	1329	116	0.0358361
63_4	k141_114746	2503	3039	+	537	23	0.017585
64_1	k141_47830	2	373	+	372	150	0.165553
64_2	k141_47830	507	671	+	165	77	0.1916
64_3	k141_47830	692	1726	+	1035	359	0.142411
64_4	k141_47830	1794	2114	+	321	108	0.138136
65_1	k141_38264	1	519	+	519	69	0.0545846
65_2	k141_38264	523	1776	+	1254	361	0.118195
65_3	k141_38264	1855	2772	+	918	70	0.0313072
66_1	k141_57391	35	769	-	735	2	0.0011172
67_1	k141_95619	19	1017	-	999	15	0.00616473
67_2	k141_95619	1329	1505	+	177	2	0.00463922
68_1	k141_143427	3	701	-	699	521	0.306019
68_2	k141_143427	830	1501	+	672	275	0.168016
69_1	k141_86056	331	1233	-	903	337	0.153225
69_2	k141_86056	1677	9461	-	7785	1924	0.101469
69_3	k141_86056	9511	10125	-	615	162	0.10815
69_4	k141_86056	10216	10758	-	543	149	0.112661
69_5	k141_86056	10964	12187	+	1224	310	0.103984
69_6	k141_86056	12390	13643	+	1254	350	0.114593
69_7	k141_86056	13764	15269	-	1506	908	0.247542
70_1	k141_124306	2	205	+	204	46	0.0925797
70_2	k141_124306	356	1081	+	726	99	0.055987
71_1	k141_66944	113	1201	-	1089	11	0.00414718
71_2	k141_66944	3117	3233	+	117	1	0.00350915
72_1	k141_19134	3	185	-	183	60	0.134613
72_2	k141_19134	1220	2248	-	1029	534	0.213066
72_3	k141_19134	2432	3451	-	1020	189	0.0760764
72_4	k141_19134	3448	3561	-	114	1	0.0036015
73_1	k141_152989	1	927	-	927	84	0.0372038
73_2	k141_152989	1145	2422	-	1278	166	0.0533293
73_3	k141_152989	2410	3168	-	759	74	0.0400293
73_4	k141_152989	3729	5066	+	1338	98	0.0300717
73_5	k141_152989	5082	5729	+	648	56	0.0354814
73_6	k141_152989	5939	6451	+	513	55	0.0440183
74_1	k141_76495	64	1536	+	1473	14	0.00390224
74_2	k141_76495	1533	3758	+	2226	28	0.00516441
74_3	k141_76495	3773	4258	+	486	0	0
74_4	k141_76495	4259	5197	+	939	10	0.00437243
