# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam
1_1	k141_14156	3	878	+	876	24
2_1	k141_3539	3	887	+	885	7
2_2	k141_3539	956	1219	+	264	2
3_1	k141_42468	117	725	-	609	22
3_2	k141_42468	784	1554	+	771	18
3_3	k141_42468	1547	2341	+	795	11
4_1	k141_38930	3	1706	-	1704	38
4_2	k141_38930	1830	1976	-	147	6
5_1	k141_46008	3	365	-	363	1
5_2	k141_46008	377	1144	-	768	8
5_3	k141_46008	1155	1691	-	537	7
5_4	k141_46008	1702	2511	-	810	16
6_1	k141_31853	2	457	-	456	7
6_2	k141_31853	599	1141	-	543	6
7_1	k141_60161	254	397	+	144	7
7_2	k141_60161	479	2047	+	1569	54
7_3	k141_60161	2093	2422	-	330	11
7_4	k141_60161	2543	3394	-	852	44
8_1	k141_42472	2	139	+	138	4
8_2	k141_42472	151	309	+	159	2
8_3	k141_42472	488	1048	+	561	11
9_1	k141_10617	1	2160	-	2160	352
9_2	k141_10617	3044	3718	-	675	14
9_3	k141_10617	4368	5186	-	819	73
10_1	k141_53088	1	1620	-	1620	87
11_1	k141_38933	1	468	+	468	64
11_2	k141_38933	728	1033	+	306	32
11_3	k141_38933	1017	1130	+	114	9
12_1	k141_49546	1	507	+	507	25
12_2	k141_49546	485	586	+	102	0
12_3	k141_49546	1067	1891	+	825	32
12_4	k141_49546	2386	3261	+	876	53
12_5	k141_49546	3265	4437	+	1173	66
12_6	k141_49546	4592	4855	+	264	17
12_7	k141_49546	5013	5669	+	657	40
13_1	k141_17698	2	931	+	930	12
13_2	k141_17698	986	1867	-	882	6
