Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_5/L17_1.bam	RPKG	geneLoc	geneNum	Score
32624_2	k141_56125	639	1655	+	1017	0	0	Capsule_5.k141_56125_2/1-335	Capsule_5.k141_56125_2	512.4
14854_3	k141_11701	2680	3729	+	1050	0	0	Capsule_5.k141_11701_3/13-346	Capsule_5.k141_11701_3	500.9
24904_2	k141_13443	1036	2034	+	999	8	0.186834	Capsule_5.k141_13443_2/1-328	Capsule_5.k141_13443_2	484.6
23609_2	k141_134358	399	1436	-	1038	0	0	Capsule_5.k141_134358_2/1-338	Capsule_5.k141_134358_2	430.2
32263_5	k141_40210	3266	4165	-	900	0	0	Capsule_5.k141_40210_5/1-293	Capsule_5.k141_40210_5	384.3
27404_3	k141_102124	1807	2868	+	1062	0	0	Capsule_5.k141_102124_3/7-343	Capsule_5.k141_102124_3	381.8
4269_2	k141_113729	360	1043	-	684	0	0	Capsule_5.k141_113729_2/1-220	Capsule_5.k141_113729_2	354.1
14854_4	k141_11701	3726	4520	+	795	0	0	Capsule_5.k141_11701_4/4-264	Capsule_5.k141_11701_4	442.9
24904_3	k141_13443	2036	2824	+	789	10	0.295703	Capsule_5.k141_13443_3/3-262	Capsule_5.k141_13443_3	433.9
32624_3	k141_56125	1652	2446	+	795	1	0.0293471	Capsule_5.k141_56125_3/4-264	Capsule_5.k141_56125_3	430.8
32263_4	k141_40210	2456	3247	-	792	0	0	Capsule_5.k141_40210_4/4-263	Capsule_5.k141_40210_4	333.3
32624_4	k141_56125	2458	3420	+	963	4	0.0969094	Capsule_5.k141_56125_4/2-315	Capsule_5.k141_56125_4	562.4
14854_5	k141_11701	4533	5501	+	969	0	0	Capsule_5.k141_11701_5/2-315	Capsule_5.k141_11701_5	556.8
24904_4	k141_13443	2838	3803	+	966	10	0.241521	Capsule_5.k141_13443_4/2-315	Capsule_5.k141_13443_4	526.9
555_2	k141_32435	437	1225	+	789	0	0	Capsule_5.k141_32435_2/4-263	Capsule_5.k141_32435_2	428.6
32263_3	k141_40210	1375	2436	-	1062	0	0	Capsule_5.k141_40210_3/4-320	Capsule_5.k141_40210_3	371.3
27556_2	k141_87857	306	1328	+	1023	0	0	Capsule_5.k141_87857_2/3-319	Capsule_5.k141_87857_2	363.9
