coassembly	sample	geneID	contig	start	stop	strand	length	mapped	RPKG	geneLoc	geneNum	Score
Capsule_1	E13_1	35391_6	k141_35391	6632	7948	+	1317	0	0	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	E13_1	35391_7	k141_35391	7967	9418	+	1452	0	0	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	E13_1	35391_7	k141_35391	7967	9418	+	1452	0	0	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	E13_1	35391_6	k141_35391	6632	7948	+	1317	0	0	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	E15_1	35391_6	k141_35391	6632	7948	+	1317	631	0.333428	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	E15_1	35391_7	k141_35391	7967	9418	+	1452	798	0.382468	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	E15_1	35391_7	k141_35391	7967	9418	+	1452	798	0.382468	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	E15_1	35391_6	k141_35391	6632	7948	+	1317	631	0.333428	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	E17_1	35391_7	k141_35391	7967	9418	+	1452	632	0.348031	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	E17_1	35391_6	k141_35391	6632	7948	+	1317	507	0.307815	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	E17_1	35391_6	k141_35391	6632	7948	+	1317	507	0.307815	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	E17_1	35391_7	k141_35391	7967	9418	+	1452	632	0.348031	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	E19_1	35391_7	k141_35391	7967	9418	+	1452	681	0.488316	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	E19_1	35391_6	k141_35391	6632	7948	+	1317	625	0.4941	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	E19_1	35391_6	k141_35391	6632	7948	+	1317	625	0.4941	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	E19_1	35391_7	k141_35391	7967	9418	+	1452	681	0.488316	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	E23_1	35391_7	k141_35391	7967	9418	+	1452	68	0.0228756	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	E23_1	35391_6	k141_35391	6632	7948	+	1317	57	0.0211407	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	E23_1	35391_6	k141_35391	6632	7948	+	1317	57	0.0211407	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	E23_1	35391_7	k141_35391	7967	9418	+	1452	68	0.0228756	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	E3_1	35391_7	k141_35391	7967	9418	+	1452	38	0.0505218	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	E3_1	35391_6	k141_35391	6632	7948	+	1317	45	0.0659612	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	E3_1	35391_6	k141_35391	6632	7948	+	1317	45	0.0659612	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	E3_1	35391_7	k141_35391	7967	9418	+	1452	38	0.0505218	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	E9_1	35391_7	k141_35391	7967	9418	+	1452	0	0	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	E9_1	35391_6	k141_35391	6632	7948	+	1317	0	0	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	E9_1	35391_6	k141_35391	6632	7948	+	1317	0	0	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	E9_1	35391_7	k141_35391	7967	9418	+	1452	0	0	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	G13_1	35391_6	k141_35391	6632	7948	+	1317	95	0.0878917	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	G13_1	35391_7	k141_35391	7967	9418	+	1452	150	0.125874	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	G13_1	35391_7	k141_35391	7967	9418	+	1452	150	0.125874	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	G13_1	35391_6	k141_35391	6632	7948	+	1317	95	0.0878917	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	G15_1	35391_7	k141_35391	7967	9418	+	1452	215	0.186782	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	G15_1	35391_6	k141_35391	6632	7948	+	1317	230	0.220296	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	G15_1	35391_6	k141_35391	6632	7948	+	1317	230	0.220296	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	G15_1	35391_7	k141_35391	7967	9418	+	1452	215	0.186782	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	G17_1	35391_6	k141_35391	6632	7948	+	1317	292	0.246505	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	G17_1	35391_7	k141_35391	7967	9418	+	1452	307	0.235072	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	G17_1	35391_7	k141_35391	7967	9418	+	1452	307	0.235072	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	G17_1	35391_6	k141_35391	6632	7948	+	1317	292	0.246505	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	G19_1	35391_7	k141_35391	7967	9418	+	1452	490	0.33334	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	G19_1	35391_6	k141_35391	6632	7948	+	1317	447	0.335258	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	G19_1	35391_6	k141_35391	6632	7948	+	1317	447	0.335258	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	G19_1	35391_7	k141_35391	7967	9418	+	1452	490	0.33334	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	G1_1	35391_6	k141_35391	6632	7948	+	1317	5	0.00469566	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	G1_1	35391_7	k141_35391	7967	9418	+	1452	12	0.0102218	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	G1_1	35391_7	k141_35391	7967	9418	+	1452	12	0.0102218	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	G1_1	35391_6	k141_35391	6632	7948	+	1317	5	0.00469566	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	G21_1	35391_7	k141_35391	7967	9418	+	1452	42	0.0203918	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	G21_1	35391_6	k141_35391	6632	7948	+	1317	28	0.014988	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	G21_1	35391_6	k141_35391	6632	7948	+	1317	28	0.014988	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	G21_1	35391_7	k141_35391	7967	9418	+	1452	42	0.0203918	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	G23_1	35391_6	k141_35391	6632	7948	+	1317	8	0.0472991	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	G23_1	35391_7	k141_35391	7967	9418	+	1452	1	0.00536269	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	G23_1	35391_7	k141_35391	7967	9418	+	1452	1	0.00536269	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	G23_1	35391_6	k141_35391	6632	7948	+	1317	8	0.0472991	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I11_1	35391_6	k141_35391	6632	7948	+	1317	1471	0.906133	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I11_1	35391_7	k141_35391	7967	9418	+	1452	1664	0.929719	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I11_1	35391_7	k141_35391	7967	9418	+	1452	1664	0.929719	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I11_1	35391_6	k141_35391	6632	7948	+	1317	1471	0.906133	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I15_1	35391_7	k141_35391	7967	9418	+	1452	9	0.00835449	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I15_1	35391_6	k141_35391	6632	7948	+	1317	10	0.0102343	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I15_1	35391_6	k141_35391	6632	7948	+	1317	10	0.0102343	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I15_1	35391_7	k141_35391	7967	9418	+	1452	9	0.00835449	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I17_1	35391_7	k141_35391	7967	9418	+	1452	82	0.0832896	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I17_1	35391_6	k141_35391	6632	7948	+	1317	57	0.0638311	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I17_1	35391_6	k141_35391	6632	7948	+	1317	57	0.0638311	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I17_1	35391_7	k141_35391	7967	9418	+	1452	82	0.0832896	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I19_1	35391_6	k141_35391	6632	7948	+	1317	48	0.0786129	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I19_1	35391_7	k141_35391	7967	9418	+	1452	43	0.0638764	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I19_1	35391_7	k141_35391	7967	9418	+	1452	43	0.0638764	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I19_1	35391_6	k141_35391	6632	7948	+	1317	48	0.0786129	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I1_1	35391_7	k141_35391	7967	9418	+	1452	0	0	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I1_1	35391_6	k141_35391	6632	7948	+	1317	0	0	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I1_1	35391_6	k141_35391	6632	7948	+	1317	0	0	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I1_1	35391_7	k141_35391	7967	9418	+	1452	0	0	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I21_1	35391_6	k141_35391	6632	7948	+	1317	19	0.0176467	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I21_1	35391_7	k141_35391	7967	9418	+	1452	16	0.0134787	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I21_1	35391_7	k141_35391	7967	9418	+	1452	16	0.0134787	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I21_1	35391_6	k141_35391	6632	7948	+	1317	19	0.0176467	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I3_1	35391_6	k141_35391	6632	7948	+	1317	22	0.0337524	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I3_1	35391_7	k141_35391	7967	9418	+	1452	12	0.0166987	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I3_1	35391_7	k141_35391	7967	9418	+	1452	12	0.0166987	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I3_1	35391_6	k141_35391	6632	7948	+	1317	22	0.0337524	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I5_1	35391_7	k141_35391	7967	9418	+	1452	1738	1.02074	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I5_1	35391_6	k141_35391	6632	7948	+	1317	1568	1.01529	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I5_1	35391_6	k141_35391	6632	7948	+	1317	1568	1.01529	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I5_1	35391_7	k141_35391	7967	9418	+	1452	1738	1.02074	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I7_1	35391_6	k141_35391	6632	7948	+	1317	11	0.0111587	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I7_1	35391_7	k141_35391	7967	9418	+	1452	11	0.0101212	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I7_1	35391_7	k141_35391	7967	9418	+	1452	11	0.0101212	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I7_1	35391_6	k141_35391	6632	7948	+	1317	11	0.0111587	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	I9_1	35391_6	k141_35391	6632	7948	+	1317	11	0.0113721	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	I9_1	35391_7	k141_35391	7967	9418	+	1452	2	0.00187541	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	I9_1	35391_7	k141_35391	7967	9418	+	1452	2	0.00187541	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	I9_1	35391_6	k141_35391	6632	7948	+	1317	11	0.0113721	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	K13_1	35391_7	k141_35391	7967	9418	+	1452	749	0.488424	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	K13_1	35391_6	k141_35391	6632	7948	+	1317	708	0.509014	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	K13_1	35391_6	k141_35391	6632	7948	+	1317	708	0.509014	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	K13_1	35391_7	k141_35391	7967	9418	+	1452	749	0.488424	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	K15_1	35391_7	k141_35391	7967	9418	+	1452	438	0.598145	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	K15_1	35391_6	k141_35391	6632	7948	+	1317	418	0.629346	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	K15_1	35391_6	k141_35391	6632	7948	+	1317	418	0.629346	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	K15_1	35391_7	k141_35391	7967	9418	+	1452	438	0.598145	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	K17_1	35391_7	k141_35391	7967	9418	+	1452	1445	0.80632	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	K17_1	35391_6	k141_35391	6632	7948	+	1317	1184	0.728403	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	K17_1	35391_6	k141_35391	6632	7948	+	1317	1184	0.728403	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
Capsule_1	K17_1	35391_7	k141_35391	7967	9418	+	1452	1445	0.80632	Capsule_1.k141_35391_7/11-266	Capsule_1.k141_35391_7	444.4
Capsule_1	K19_1	35391_7	k141_35391	7967	9418	+	1452	111	0.259208	Capsule_1.k141_35391_7/21-362	Capsule_1.k141_35391_7	239.9
Capsule_1	K19_1	35391_6	k141_35391	6632	7948	+	1317	129	0.332121	Capsule_1.k141_35391_6/62-342	Capsule_1.k141_35391_6	168.1
Capsule_1	K19_1	35391_6	k141_35391	6632	7948	+	1317	129	0.332121	Capsule_1.k141_35391_6/64-437	Capsule_1.k141_35391_6	641.1
