# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_13_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_13/G1_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_13/G1_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_13/G1_2.bam	RPKG
1_1	k141_210480	54	1022	-	969	4	0.00225197
2_1	k141_42096	2	112	-	111	0	0
2_2	k141_42096	105	386	-	282	0	0
2_3	k141_42096	470	1174	-	705	3	0.00232144
3_1	k141_196448	59	505	+	447	3	0.00366134
3_2	k141_196448	679	1284	+	606	0	0
4_1	k141_0	146	394	+	249	76	0.16651
4_2	k141_0	444	1469	-	1026	714	0.379644
4_3	k141_0	1466	1555	-	90	2	0.0121231
5_1	k141_266606	2	151	-	150	0	0
5_2	k141_266606	212	808	+	597	0	0
6_1	k141_84192	2	1057	-	1056	0	0
6_2	k141_84192	1074	1790	-	717	1	0.000760864
7_1	k141_56128	1	135	-	135	0	0
7_2	k141_56128	554	760	+	207	0	0
7_3	k141_56128	892	2319	-	1428	0	0
8_1	k141_112257	3	482	-	480	6	0.00681924
8_2	k141_112257	617	877	-	261	5	0.0104509
8_3	k141_112257	889	1425	-	537	10	0.010159
8_4	k141_112257	1428	1658	-	231	0	0
8_5	k141_112257	1770	2015	+	246	4	0.00887056
9_1	k141_140321	2	823	-	822	0	0
9_2	k141_140321	823	1764	-	942	0	0
9_3	k141_140321	1789	2220	-	432	0	0
10_1	k141_238543	1	435	+	435	6	0.00752468
10_2	k141_238543	452	1348	+	897	1	0.000608182
10_3	k141_238543	1360	1599	+	240	0	0
10_4	k141_238543	1604	2740	+	1137	8	0.00383845
11_1	k141_196450	58	198	-	141	0	0
11_2	k141_196450	369	869	-	501	0	0
