# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam	RPKM
1_1	k141_14156	3	878	+	876	19	5.67405
2_1	k141_3539	3	887	+	885	9	2.66037
2_2	k141_3539	956	1219	+	264	2	1.98184
3_1	k141_42468	117	725	-	609	6	2.57737
3_2	k141_42468	784	1554	+	771	12	4.07165
3_3	k141_42468	1547	2341	+	795	24	7.89746
4_1	k141_38930	3	1706	-	1704	15	2.30285
4_2	k141_38930	1830	1976	-	147	5	8.89808
5_1	k141_46008	3	365	-	363	6	4.32402
5_2	k141_46008	377	1144	-	768	23	7.83448
5_3	k141_46008	1155	1691	-	537	18	8.76883
5_4	k141_46008	1702	2511	-	810	26	8.39715
6_1	k141_31853	2	457	-	456	16	9.17907
6_2	k141_31853	599	1141	-	543	11	5.29952
7_1	k141_60161	254	397	+	144	34	61.7675
7_2	k141_60161	479	2047	+	1569	155	25.8436
7_3	k141_60161	2093	2422	-	330	37	29.3313
7_4	k141_60161	2543	3394	-	852	52	15.9664
8_1	k141_42472	2	139	+	138	0	0
8_2	k141_42472	151	309	+	159	0	0
8_3	k141_42472	488	1048	+	561	23	10.7253
9_1	k141_10617	1	2160	-	2160	315	38.1505
9_2	k141_10617	3044	3718	-	675	32	12.4019
9_3	k141_10617	4368	5186	-	819	188	60.0506
10_1	k141_53088	1	1620	-	1620	130	20.9929
11_1	k141_38933	1	468	+	468	76	42.4826
11_2	k141_38933	728	1033	+	306	50	42.7457
11_3	k141_38933	1017	1130	+	114	12	27.5372
12_1	k141_49546	1	507	+	507	38	19.6074
12_2	k141_49546	485	586	+	102	1	2.56474
12_3	k141_49546	1067	1891	+	825	73	23.1479
12_4	k141_49546	2386	3261	+	876	117	34.9402
12_5	k141_49546	3265	4437	+	1173	143	31.892
12_6	k141_49546	4592	4855	+	264	14	13.8729
12_7	k141_49546	5013	5669	+	657	77	30.6598
13_1	k141_17698	2	931	+	930	37	10.4079
13_2	k141_17698	986	1867	-	882	16	4.74564
13_3	k141_17698	2037	2132	+	96	0	0
14_1	k141_3544	1	279	-	279	11	10.3141
14_2	k141_3544	801	1223	-	423	22	13.6059
15_1	k141_56626	3	212	+	210	20	24.9146
15_2	k141_56626	349	1569	-	1221	48	10.2842
15_3	k141_56626	1873	2130	+	258	10	10.1397
16_1	k141_63704	77	700	+	624	9	3.77313
16_2	k141_63704	718	1431	+	714	9	3.29752
16_3	k141_63704	1462	1797	+	336	9	7.00724
17_1	k141_24779	3	845	-	843	9	2.79292
17_2	k141_24779	934	1014	-	81	1	3.22967
18_1	k141_21240	3	107	-	105	21	52.3207
18_2	k141_21240	291	1517	-	1227	275	58.6316
19_1	k141_60164	167	1132	-	966	24	6.49947
20_1	k141_17699	91	246	+	156	7	11.7386
20_2	k141_17699	337	1758	+	1422	28	5.15112
21_1	k141_53090	2	298	+	297	13	11.4507
21_2	k141_53090	307	822	+	516	15	7.60475
21_3	k141_53090	812	1015	+	204	10	12.8237
21_4	k141_53090	1167	1559	+	393	16	10.6505
21_5	k141_53090	1641	1799	+	159	4	6.58122
22_1	k141_67239	34	2130	-	2097	405	50.5243
22_2	k141_67239	2127	2828	-	702	55	20.496
22_3	k141_67239	2818	3075	-	258	28	28.3911
22_4	k141_67239	3109	4821	-	1713	257	39.2482
23_1	k141_46015	2	199	-	198	0	0
23_2	k141_46015	205	1326	-	1122	44	10.259
24_1	k141_21243	3	83	-	81	0	0
24_2	k141_21243	107	1573	-	1467	10	1.78325
25_1	k141_49551	3	137	-	135	4	7.75121
25_2	k141_49551	179	970	-	792	73	24.1124
25_3	k141_49551	1319	1627	-	309	18	15.239
26_1	k141_63709	3	221	+	219	2	2.38907
26_2	k141_63709	218	904	+	687	29	11.0429
27_1	k141_3551	198	506	+	309	13	11.006
27_2	k141_3551	826	1011	-	186	2	2.81294
27_3	k141_3551	1049	1237	-	189	5	6.92073
28_1	k141_60168	3	1601	+	1599	35	5.72616
29_1	k141_14	172	1554	+	1383	521	98.5506
29_2	k141_14	1551	2336	+	786	251	83.54
30_1	k141_31858	3	98	+	96	1	2.72504
30_2	k141_31858	95	385	+	291	53	47.646
30_3	k141_31858	493	1938	-	1446	236	42.696
30_4	k141_31858	2125	2415	-	291	82	73.7164
30_5	k141_31858	2444	2905	-	462	111	62.8528
30_6	k141_31858	2916	3368	-	453	99	57.1716
30_7	k141_31858	3472	3627	-	156	20	33.5389
31_1	k141_21244	22	1344	-	1323	53	10.48
32_1	k141_53094	3	71	+	69	0	0
32_2	k141_53094	68	922	+	855	141	43.1416
32_3	k141_53094	919	1023	+	105	0	0
33_1	k141_60169	84	941	-	858	11	3.35389
33_2	k141_60169	1035	1241	+	207	2	2.52757
34_1	k141_56634	864	1598	+	735	149	53.0325
34_2	k141_56634	1625	2080	+	456	68	39.011
35_1	k141_49555	1	150	-	150	0	0
35_2	k141_49555	177	1019	-	843	10	3.10324
36_1	k141_42476	2	877	+	876	60	17.918
36_2	k141_42476	879	2618	+	1740	180	27.0624
36_3	k141_42476	2822	3397	-	576	58	26.342
36_4	k141_42476	4042	4287	+	246	64	68.0594
36_5	k141_42476	4401	4562	+	162	7	11.3039
37_1	k141_38937	1	141	+	141	44	81.6351
37_2	k141_38937	368	1069	+	702	147	54.7802
37_3	k141_38937	1062	3560	+	2499	475	49.7246
37_4	k141_38937	3572	3811	+	240	32	34.8805
37_5	k141_38937	3795	3908	+	114	4	9.17907
38_1	k141_17706	1	309	+	309	21	17.7789
38_2	k141_17706	378	1454	+	1077	31	7.52991
38_3	k141_17706	1571	2158	+	588	45	20.0207
39_1	k141_63711	2	289	+	288	93	84.4761
39_2	k141_63711	537	734	+	198	68	89.8436
39_3	k141_63711	800	1465	+	666	82	32.2094
39_4	k141_63711	1517	2131	-	615	70	29.776
39_5	k141_63711	2289	2423	+	135	4	7.75121
40_1	k141_56635	1	585	+	585	10	4.47185
40_2	k141_56635	598	939	+	342	4	3.05969
40_3	k141_56635	943	1197	+	255	0	0
41_1	k141_19	2	190	+	189	61	84.4329
41_2	k141_19	407	856	+	450	67	38.9499
42_1	k141_60171	3	140	+	138	1	1.89568
42_2	k141_60171	145	1656	+	1512	58	10.0351
43_1	k141_17708	3	503	-	501	7	3.65514
43_2	k141_17708	571	984	-	414	6	3.79135
44_1	k141_3558	1	762	+	762	16	5.49299
44_2	k141_3558	1108	1437	+	330	10	7.92738
45_1	k141_46017	12	1193	+	1182	69	15.2713
45_2	k141_46017	1207	3654	+	2448	123	13.1443
45_3	k141_46017	3743	4231	-	489	26	13.9094
46_1	k141_53099	125	1351	+	1227	42	8.95464
46_2	k141_53099	1475	2002	-	528	16	7.92738
47_1	k141_10622	1	1101	-	1101	23	5.46492
47_2	k141_10622	1293	2264	+	972	28	7.5359
47_3	k141_10622	2458	3387	-	930	22	6.18847
47_4	k141_10622	3592	4110	-	519	18	9.07295
47_5	k141_10622	4153	4785	-	633	17	7.02569
47_6	k141_10622	4877	6091	-	1215	17	3.6603
48_1	k141_67243	2	169	-	168	1	1.55716
48_2	k141_67243	258	1202	-	945	42	11.6268
48_3	k141_67243	1516	1647	+	132	4	7.92738
48_4	k141_67243	1775	3472	-	1698	34	5.23823
48_5	k141_67243	3818	4411	-	594	30	13.2123
