Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_14/H11_2.bam	RPKM	geneLoc	geneNum	Score
20641_2	k141_153065	655	1800	+	1146	95	6.03265	Capsule_14.k141_153065_2/20-361	Capsule_14.k141_153065_2	241.4
12167_6	k141_162775	5061	6512	-	1452	683	34.2313	Capsule_14.k141_162775_6/21-362	Capsule_14.k141_162775_6	239.5
19351_2	k141_54440	656	1801	+	1146	87	5.52464	Capsule_14.k141_54440_2/20-361	Capsule_14.k141_54440_2	238.9
12167_7	k141_162775	6531	7847	-	1317	489	27.0204	Capsule_14.k141_162775_7/62-342	Capsule_14.k141_162775_7	168.1
12167_7	k141_162775	6531	7847	-	1317	489	27.0204	Capsule_14.k141_162775_7/64-437	Capsule_14.k141_162775_7	641.1
12167_6	k141_162775	5061	6512	-	1452	683	34.2313	Capsule_14.k141_162775_6/11-266	Capsule_14.k141_162775_6	445.0
19351_2	k141_54440	656	1801	+	1146	87	5.52464	Capsule_14.k141_54440_2/11-266	Capsule_14.k141_54440_2	446.5
20641_2	k141_153065	655	1800	+	1146	95	6.03265	Capsule_14.k141_153065_2/11-266	Capsule_14.k141_153065_2	446.0
19351_1	k141_54440	2	637	+	636	46	5.26344	Capsule_14.k141_54440_1/2-210	Capsule_14.k141_54440_1	300.2
20641_1	k141_153065	2	637	+	636	51	5.83555	Capsule_14.k141_153065_1/2-210	Capsule_14.k141_153065_1	298.3
20641_10	k141_153065	10643	11833	+	1191	84	5.13259	Capsule_14.k141_153065_1/2-210	Capsule_14.k141_153065_1	298.3
20641_11	k141_153065	11853	12185	+	333	21	4.58928	Capsule_14.k141_153065_1/2-210	Capsule_14.k141_153065_1	298.3
20641_12	k141_153065	12637	13839	+	1203	52	3.14562	Capsule_14.k141_153065_1/2-210	Capsule_14.k141_153065_1	298.3
20641_13	k141_153065	13993	15222	+	1230	120	7.09978	Capsule_14.k141_153065_1/2-210	Capsule_14.k141_153065_1	298.3
1368_5	k141_148417	2672	3199	+	528	45	6.20223	Capsule_14.k141_148417_5/63-175	Capsule_14.k141_148417_5	207.6
19351_5	k141_54440	4767	5294	+	528	50	6.89136	Capsule_14.k141_54440_5/63-175	Capsule_14.k141_54440_5	207.3
