# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam	RPKM
1_1	k141_14156	3	878	+	876	24	12.9347
2_1	k141_3539	3	887	+	885	7	3.73426
2_2	k141_3539	956	1219	+	264	2	3.57665
3_1	k141_42468	117	725	-	609	22	17.0551
3_2	k141_42468	784	1554	+	771	18	11.0222
3_3	k141_42468	1547	2341	+	795	11	6.53244
4_1	k141_38930	3	1706	-	1704	38	10.5284
4_2	k141_38930	1830	1976	-	147	6	19.2701
5_1	k141_46008	3	365	-	363	1	1.3006
5_2	k141_46008	377	1144	-	768	8	4.91789
5_3	k141_46008	1155	1691	-	537	7	6.15423
5_4	k141_46008	1702	2511	-	810	16	9.32577
6_1	k141_31853	2	457	-	456	7	7.24741
6_2	k141_31853	599	1141	-	543	6	5.21676
7_1	k141_60161	254	397	+	144	7	22.9501
7_2	k141_60161	479	2047	+	1569	54	16.2488
7_3	k141_60161	2093	2422	-	330	11	15.7372
7_4	k141_60161	2543	3394	-	852	44	24.3816
8_1	k141_42472	2	139	+	138	4	13.6846
8_2	k141_42472	151	309	+	159	2	5.93858
8_3	k141_42472	488	1048	+	561	11	9.2572
9_1	k141_10617	1	2160	-	2160	352	76.9376
9_2	k141_10617	3044	3718	-	675	14	9.79206
9_3	k141_10617	4368	5186	-	819	73	42.0813
10_1	k141_53088	1	1620	-	1620	87	25.3544
11_1	k141_38933	1	468	+	468	64	64.563
11_2	k141_38933	728	1033	+	306	32	49.3717
11_3	k141_38933	1017	1130	+	114	9	37.2724
12_1	k141_49546	1	507	+	507	25	23.2799
12_2	k141_49546	485	586	+	102	0	0
12_3	k141_49546	1067	1891	+	825	32	18.3124
12_4	k141_49546	2386	3261	+	876	53	28.5642
12_5	k141_49546	3265	4437	+	1173	66	26.5641
12_6	k141_49546	4592	4855	+	264	17	30.4015
12_7	k141_49546	5013	5669	+	657	40	28.7438
13_1	k141_17698	2	931	+	930	12	6.09184
13_2	k141_17698	986	1867	-	882	6	3.21168
13_3	k141_17698	2037	2132	+	96	0	0
14_1	k141_3544	1	279	-	279	2	3.38435
14_2	k141_3544	801	1223	-	423	6	6.6967
15_1	k141_56626	3	212	+	210	10	22.4818
15_2	k141_56626	349	1569	-	1221	22	8.50662
15_3	k141_56626	1873	2130	+	258	2	3.65982
16_1	k141_63704	77	700	+	624	9	6.80938
16_2	k141_63704	718	1431	+	714	14	9.2572
