"hit_id","query_id","biosample_id","closest_ref","distance","SRM_present","single_closest_ref"
"UEPQ01.62.1_13/64-437","UEPQ01","SAMN06115483","['Bilophila_wadsworthia__BilWads6']",1.50000025001454e-06,TRUE,"Bilophila_wadsworthia__BilWads6"
"UEPQ01.62.1_14/11-266","UEPQ01","SAMN06115483","['Bilophila_wadsworthia__BilWads6']",1.50000025001454e-06,TRUE,"Bilophila_wadsworthia__BilWads6"
"OQDE01.41009.1_2/1-77","OQDE01","SAMD00036307","['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA,TRUE,"Bilophila_wadsworthia__BilWads6"
"OWXA01.5389.1_2/11-266","OWXA01","SAMN05827029","['uncultured_bacterium__EF645667']",0.159062276190246,TRUE,"uncultured_bacterium__EF645667"
"OWXA01.5389.1_1/97-239","OWXA01","SAMN05827029","['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.0753720912742298,TRUE,"Desulfovibrio_piger__DslPige3"
"UPFD01.8591.1_2/63-436","UPFD01","SAMEA2737666","['Desulfovibrio_piger__DslPige4']",0.0141257876807884,TRUE,"Desulfovibrio_piger__DslPige4"
"UPFD01.8591.1_3/11-266","UPFD01","SAMEA2737666","['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.0578767876807884,TRUE,"Desulfovibrio_piger__DslPige3"
"UPMZ01.5950.1_5/51-395","UPMZ01","SAMEA2737808","['Gordonibacter_pamelaeae_7-10-1-b__FP929047']",0.00759969517357038,TRUE,"Gordonibacter_pamelaeae_7-10-1-b__FP929047"
"UPMZ01.5950.1_6/3-237","UPMZ01","SAMEA2737808","['Gordonibacter_pamelaeae__GrdPame5']",0.00338522102966964,TRUE,"Gordonibacter_pamelaeae__GrdPame5"
"UPMZ01.79208.1_1/11-136","UPMZ01","SAMEA2737808","['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA,TRUE,"Bilophila_wadsworthia__BilWads6"
"UPMZ01.44144.1_1/64-137","UPMZ01","SAMEA2737808","['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA,TRUE,"Bilophila_wadsworthia__BilWads6"
"ORSC01.82376.1_1/1-172","ORSC01","SAMEA2338681","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",0.975806539828218,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2"
"UEYD01.35306.1_1/33-281","UEYD01","SAMN06115506","['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA,TRUE,"Bilophila_wadsworthia__BilWads6"
"OPSF01.12557.1_1/64-428","OPSF01","SAMEA2042111","['Desulfovibrio_piger__DslPige4']",0.0605200912742298,TRUE,"Desulfovibrio_piger__DslPige4"
"QWCE01.3417.1_7/64-437","QWCE01","SAMN09866716","['Bilophila_wadsworthia__BilWads6']",1.50000025001454e-06,TRUE,"Bilophila_wadsworthia__BilWads6"
"QWCE01.34300.1_2/44-392","QWCE01","SAMN09866716","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.28961653982822,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2"
"QWCE01.3417.1_6/11-266","QWCE01","SAMN09866716","['Bilophila_wadsworthia__BilWads6']",1.50000025001454e-06,TRUE,"Bilophila_wadsworthia__BilWads6"
"QWCE01.148739.1_1/3-193","QWCE01","SAMN09866716","['Gordonibacter_pamelaeae__GrdPame5']",0.287504704393165,TRUE,"Gordonibacter_pamelaeae__GrdPame5"
"QWCE01.143185.1_1/1-188","QWCE01","SAMN09866716","[]",NA,FALSE,NA
"QWCE01.34300.1_3/4-136","QWCE01","SAMN09866716","['Thermodesulfobium_narugense__CP002690']",1.84720903458103,TRUE,"Thermodesulfobium_narugense__CP002690"
"OWCY01.6912.1_3/63-436","OWCY01","SAMEA3708620","['Desulfovibrio_piger__DslPige2']",0.0216275214698588,TRUE,"Desulfovibrio_piger__DslPige2"
"OWCY01.6912.1_2/11-266","OWCY01","SAMEA3708620","['Desulfovibrio_piger__DslPige3']",0.0296697876807884,TRUE,"Desulfovibrio_piger__DslPige3"
"OWCY01.44532.1_1/11-266","OWCY01","SAMEA3708620","['Bilophila_wadsworthia__BilWads6']",1.50000025001454e-06,TRUE,"Bilophila_wadsworthia__BilWads6"
"ORRJ01.13417.1_2/63-436","ORRJ01","SAMEA2338649","['Desulfovibrio_piger__DslPige3']",0.0264067876807884,TRUE,"Desulfovibrio_piger__DslPige3"
"ORRJ01.22585.1_1/1-245","ORRJ01","SAMEA2338649","['Bilophila_wadsworthia__BilWads6']",0.132795370502427,TRUE,"Bilophila_wadsworthia__BilWads6"
"UERO01.20183.1_1/64-437","UERO01","SAMN06115397","['Bilophila_wadsworthia__BilWads6']",1.50000025001454e-06,TRUE,"Bilophila_wadsworthia__BilWads6"
"UERO01.11922.1_1/1-118","UERO01","SAMN06115397","['Bilophila_wadsworthia__BilWads6']",0.122301370502427,TRUE,"Bilophila_wadsworthia__BilWads6"
"UERO01.20183.1_2/11-91","UERO01","SAMN06115397","['Bilophila_wadsworthia__BilWads6']",0.285344370502427,TRUE,"Bilophila_wadsworthia__BilWads6"
"OPAP01.30399.1_1/1-90","OPAP01","SAMEA1967055","['Bilophila_wadsworthia__BilWads6', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA,TRUE,"Bilophila_wadsworthia__BilWads6"
"OURY01.49778.1_1/1-252","OURY01","SAMEA2338638","['Anaerobic_bacterium_sk.prop8__Bv2Prop2']",1.16743453982822,TRUE,"Anaerobic_bacterium_sk.prop8__Bv2Prop2"
"OYXC01.9658.1_1/11-266","OYXC01","SAMN06165016","['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.0390407876807884,TRUE,"Desulfovibrio_piger__DslPige3"
"OYXC01.9658.1_2/1-228","OYXC01","SAMN06165016","['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA,TRUE,"Desulfovibrio_piger__DslPige3"
"USZA01.13236.1_3/38-305","USZA01","SAMN06112073","['Bilophila_wadsworthia__BilWads6']",0.147161370502427,TRUE,"Bilophila_wadsworthia__BilWads6"
