# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_2_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_2/C9_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_2/C9_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_2/C9_1.bam	RPKG
1_1	k141_194758	1	366	+	366	19	0.042849
1_2	k141_194758	391	1011	-	621	28	0.0372164
2_1	k141_174257	3	1718	-	1716	36	0.0173162
3_1	k141_20503	1	435	+	435	7	0.0132824
3_2	k141_20503	509	1837	+	1329	25	0.0155269
4_1	k141_82010	2	1114	-	1113	16	0.0118657
5_1	k141_71759	2	1198	-	1197	13	0.00896433
6_1	k141_41007	113	1033	+	921	27	0.0241976
7_1	k141_112760	1	840	-	840	19	0.0186699
7_2	k141_112760	1030	1386	-	357	5	0.0115603
8_1	k141_123010	3	1241	-	1239	21	0.01399
9_1	k141_102512	3	1019	+	1017	21	0.0170438
10_1	k141_92261	124	1287	+	1164	38	0.0269463
11_1	k141_61506	1	426	+	426	9	0.0174382
11_2	k141_61506	427	663	-	237	0	0
11_3	k141_61506	939	1601	-	663	12	0.0149395
11_4	k141_61506	1728	3599	-	1872	71	0.0313055
11_5	k141_61506	3624	3866	-	243	6	0.0203804
12_1	k141_20506	1	1332	-	1332	26	0.0161116
13_1	k141_112761	2	1087	+	1086	64	0.0486428
14_1	k141_30757	1	852	+	852	11	0.0106567
14_2	k141_30757	849	1667	-	819	5	0.00503912
15_1	k141_82011	3	1610	+	1608	35	0.017966
16_1	k141_71761	2	325	+	324	2	0.00509511
16_2	k141_71761	329	1447	+	1119	24	0.0177031
17_1	k141_123013	2	535	+	534	6	0.00927424
17_2	k141_123013	656	1921	+	1266	32	0.0208634
17_3	k141_123013	2002	2085	-	84	1	0.00982628
18_1	k141_61507	3	599	+	597	2	0.00276518
18_2	k141_61507	656	1540	+	885	5	0.00466332
19_1	k141_164015	1	336	-	336	188	0.461835
19_2	k141_164015	338	610	-	273	120	0.362816
19_3	k141_164015	622	1092	-	471	292	0.511718
19_4	k141_164015	1092	1313	-	222	56	0.208211
19_5	k141_164015	1294	1734	-	441	155	0.290109
20_1	k141_92264	1	69	-	69	0	0
20_2	k141_92264	111	662	+	552	22	0.0328967
20_3	k141_92264	698	1285	+	588	10	0.0140375
21_1	k141_143507	3	401	+	399	4	0.00827476
21_2	k141_143507	490	1062	-	573	25	0.0360125
21_3	k141_143507	1074	2345	-	1272	13	0.00843577
21_4	k141_143507	2373	2516	+	144	1	0.005732
21_5	k141_143507	2544	3845	+	1302	34	0.0215544
21_6	k141_143507	3869	4294	+	426	17	0.0329388
21_7	k141_143507	4308	4451	+	144	2	0.011464
21_8	k141_143507	4448	6001	+	1554	35	0.0185903
22_1	k141_71762	2	586	-	585	10	0.0141095
22_2	k141_71762	722	1255	+	534	20	0.0309141
23_1	k141_30759	2	328	+	327	7	0.0176693
23_2	k141_30759	482	1039	+	558	18	0.026626
23_3	k141_30759	1186	1695	+	510	6	0.00971068
24_1	k141_184513	22	531	+	510	5	0.00809223
24_2	k141_184513	524	931	+	408	5	0.0101153
24_3	k141_184513	949	1536	+	588	3	0.00421126
24_4	k141_184513	1573	1980	+	408	3	0.00606917
24_5	k141_184513	1997	2419	+	423	2	0.00390264
24_6	k141_184513	2450	3346	+	897	6	0.00552112
25_1	k141_51266	316	756	-	441	18	0.0336901
25_2	k141_51266	1402	2034	-	633	24	0.0312951
26_1	k141_102518	1	327	+	327	2	0.00504836
26_2	k141_102518	324	785	+	462	3	0.00535979
26_3	k141_102518	808	3024	+	2217	36	0.0134031
27_1	k141_41009	109	1281	+	1173	28	0.0197028
