k141_47288_8/3-262,k141_47288_8,263,422.0,6.4e-126,0.5,260,421.9,4.8e-129,7.2e-126,0.5,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_104067_4/2-263,k141_104067_4,264,418.3,9e-125,2.9,262,418.1,6.7e-128,1e-124,2.9,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_37283_33/6-271,k141_37283_33,281,186.5,4.6e-54,0.0,266,186.3,3.6e-57,5.3e-54,0.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_15437_3/15-273,k141_15437_3,285,185.2,1.1e-53,0.1,259,184.9,9.3e-57,1.4e-53,0.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_136349_22/8-272,k141_136349_22,279,181.5,1.5e-52,0.0,265,181.3,1.2e-55,1.8e-52,0.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_30139_1/23-289,k141_30139_1,294,167.4,3e-48,0.0,267,167.2,2.4e-51,3.6e-48,0.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_8531_1/405-631,k141_8531_1,640,160.7,3.4e-46,0.0,227,160.1,3.5e-49,5.3e-46,0.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_78977_2/404-663,k141_78977_2,672,152.8,8.9e-44,0.0,260,152.2,9.1e-47,1.4e-43,0.0,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_59769_10/25-251,k141_59769_10,296,87.4,8e-24,2.9,227,86.7,8.4e-27,1.3e-23,2.9,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_24532_30/26-252,k141_24532_30,297,85.9,2.3e-23,2.4,227,85.9,1.5e-26,2.3e-23,2.4,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_21427_20/25-252,k141_21427_20,297,85.5,3e-23,1.1,228,85.2,2.5e-26,3.7e-23,1.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_68022_11/25-252,k141_68022_11,295,85.5,3.1e-23,0.3,228,85.1,2.7e-26,4e-23,0.3,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_121944_7/25-252,k141_121944_7,295,84.0,8.7e-23,3.6,228,83.6,7.6e-26,1.1e-22,3.6,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_79714_2/26-251,k141_79714_2,255,81.4,5.4e-22,1.1,226,80.9,5.1e-25,7.6e-22,1.1,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
k141_69242_4/26-251,k141_69242_4,296,81.3,5.7e-22,2.9,226,80.6,6.5e-25,9.7e-22,2.9,workflow/out/asr_HMMER/domtbl/Capsule_2_asr_B.domtblout
