Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_12/M6_2.bam	RPKG	geneLoc	geneNum	Score
55331_4	k141_89630	2153	3169	-	1017	0	0	Capsule_12.k141_89630_4/1-334	Capsule_12.k141_89630_4	563.3
58567_5	k141_43711	3795	4805	-	1011	1	0.000446004	Capsule_12.k141_43711_5/1-329	Capsule_12.k141_43711_5	503.2
6463_7	k141_93031	7105	8103	+	999	68	0.0306926	Capsule_12.k141_93031_7/1-328	Capsule_12.k141_93031_7	489.8
21648_5	k141_81666	2246	3244	+	999	86	0.0388171	Capsule_12.k141_81666_5/1-328	Capsule_12.k141_81666_5	479.0
5180_25	k141_276453	24061	25113	-	1053	2	0.00085643	Capsule_12.k141_276453_25/1-345	Capsule_12.k141_276453_25	472.9
26301_5	k141_218262	4068	5102	-	1035	7	0.00304964	Capsule_12.k141_218262_5/1-338	Capsule_12.k141_218262_5	429.4
53248_2	k141_89197	305	1237	-	933	0	0	Capsule_12.k141_89197_2/3-300	Capsule_12.k141_89197_2	396.4
18373_1	k141_63953	4	1050	-	1047	6	0.00258401	Capsule_12.k141_63953_1/1-342	Capsule_12.k141_63953_1	369.6
10851_1	k141_277439	3	683	+	681	8	0.00529704	Capsule_12.k141_277439_1/2-220	Capsule_12.k141_277439_1	348.7
55331_3	k141_89630	1366	2160	-	795	0	0	Capsule_12.k141_89630_3/4-264	Capsule_12.k141_89630_3	472.1
6463_8	k141_93031	8105	8893	+	789	65	0.0371473	Capsule_12.k141_93031_8/3-262	Capsule_12.k141_93031_8	434.9
21648_6	k141_81666	3246	4034	+	789	64	0.0365758	Capsule_12.k141_81666_6/3-262	Capsule_12.k141_81666_6	434.3
64196_2	k141_71385	240	1028	+	789	1	0.000571496	Capsule_12.k141_71385_2/3-262	Capsule_12.k141_71385_2	432.6
58567_4	k141_43711	3003	3794	-	792	0	0	Capsule_12.k141_43711_4/2-263	Capsule_12.k141_43711_4	421.2
5180_24	k141_276453	23265	24059	-	795	2	0.00113437	Capsule_12.k141_276453_24/5-264	Capsule_12.k141_276453_24	420.0
26301_4	k141_218262	3260	4051	-	792	5	0.00284666	Capsule_12.k141_218262_4/4-263	Capsule_12.k141_218262_4	330.6
11916_1	k141_94413	3	728	+	726	2	0.00124218	Capsule_12.k141_94413_1/1-241	Capsule_12.k141_94413_1	318.4
5180_23	k141_276453	22290	23252	-	963	2	0.00093647	Capsule_12.k141_276453_23/2-315	Capsule_12.k141_276453_23	566.0
55331_2	k141_89630	381	1352	-	972	0	0	Capsule_12.k141_89630_2/2-315	Capsule_12.k141_89630_2	559.5
21648_7	k141_81666	4048	5013	+	966	92	0.0429439	Capsule_12.k141_81666_7/2-315	Capsule_12.k141_81666_7	528.2
6463_9	k141_93031	8909	9874	+	966	95	0.0443442	Capsule_12.k141_93031_9/2-315	Capsule_12.k141_93031_9	527.0
58567_3	k141_43711	2021	2989	-	969	0	0	Capsule_12.k141_43711_3/4-317	Capsule_12.k141_43711_3	525.1
65826_2	k141_76077	376	1359	+	984	0	0	Capsule_12.k141_76077_2/6-319	Capsule_12.k141_76077_2	489.0
26301_3	k141_218262	2186	3241	-	1056	15	0.00640498	Capsule_12.k141_218262_3/4-321	Capsule_12.k141_218262_3	374.5
