# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_14_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_14/H3_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_14/H3_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_14/H3_2.bam	RPKG
1_1	k141_234550	1	411	+	411	6	0.0279911
1_2	k141_234550	494	1033	+	540	7	0.024855
2_1	k141_24691	3	206	-	204	14	0.131586
2_2	k141_24691	278	1336	-	1059	46	0.083286
3_1	k141_185174	509	880	+	372	6	0.0309256
3_2	k141_185174	1219	1710	+	492	6	0.0233828
3_3	k141_185174	1970	2275	+	306	0	0
4_1	k141_49382	217	438	-	222	6	0.0518213
4_2	k141_49382	555	1100	-	546	0	0
4_3	k141_49382	1266	1775	+	510	0	0
4_4	k141_49382	1800	1910	+	111	0	0
5_1	k141_74071	2	556	+	555	0	0
5_2	k141_74071	666	2081	+	1416	0	0
5_3	k141_74071	2183	2962	-	780	0	0
6_1	k141_209862	3	290	-	288	1	0.0066576
6_2	k141_209862	297	1655	-	1359	8	0.0112871
6_3	k141_209862	1859	3901	+	2043	15	0.0140777
7_1	k141_135797	1	378	-	378	0	0
7_2	k141_135797	619	2040	-	1422	22	0.0296642
8_1	k141_86415	162	911	-	750	12	0.0306782
8_2	k141_86415	1084	2517	-	1434	56	0.0748771
8_3	k141_86415	2668	3216	-	549	16	0.0558802
8_4	k141_86415	3333	3902	+	570	7	0.0235469
9_1	k141_111110	1	471	-	471	0	0
9_2	k141_111110	581	1048	-	468	0	0
10_1	k141_197526	1	1164	-	1164	0	0
11_1	k141_160491	2	103	-	102	0	0
11_2	k141_160491	310	2046	-	1737	8	0.00883081
11_3	k141_160491	2056	2175	-	120	0	0
12_1	k141_172837	3	284	-	282	4	0.027197
12_2	k141_172837	479	1183	+	705	49	0.133265
