coassembly	sample	geneID	contig	start	stop	strand	length	mapped	RPKG	geneLoc	geneNum	Score
Stool_12	C1_2	28767_4	k141_28767	2542	3855	+	1314	20	0.00831837	Stool_12.k141_28767_4/63-436	Stool_12.k141_28767_4	645.1
Stool_12	C1_2	103584_11	k141_103584	10588	11904	+	1317	52	0.0215785	Stool_12.k141_103584_11/64-437	Stool_12.k141_103584_11	641.7
Stool_12	C1_2	304901_1	k141_304901	3	1094	+	1092	0	0	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
Stool_12	C1_2	103584_12	k141_103584	11923	13374	+	1452	48	0.0180667	Stool_12.k141_103584_12/11-266	Stool_12.k141_103584_12	447.1
Stool_12	C1_2	28767_5	k141_28767	3874	4683	+	810	12	0.00809655	Stool_12.k141_28767_5/11-266	Stool_12.k141_28767_5	445.5
Stool_12	C1_2	304901_2	k141_304901	1146	2201	+	1056	0	0	Stool_12.k141_304901_2/3-237	Stool_12.k141_304901_2	397.6
Stool_12	C1_2	304901_2	k141_304901	1146	2201	+	1056	0	0	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
Stool_12	C1_2	304901_1	k141_304901	3	1094	+	1092	0	0	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
Stool_12	C1_2	103584_12	k141_103584	11923	13374	+	1452	48	0.0180667	Stool_12.k141_103584_12/21-362	Stool_12.k141_103584_12	238.2
Stool_12	C1_2	103584_11	k141_103584	10588	11904	+	1317	52	0.0215785	Stool_12.k141_103584_11/63-344	Stool_12.k141_103584_11	169.0
Stool_12	C1_2	28767_4	k141_28767	2542	3855	+	1314	20	0.00831837	Stool_12.k141_28767_4/4-418	Stool_12.k141_28767_4	206.6
Stool_12	C1_2	28767_5	k141_28767	3874	4683	+	810	12	0.00809655	Stool_12.k141_28767_5/20-268	Stool_12.k141_28767_5	138.6
Stool_12	C3_2	28767_4	k141_28767	2542	3855	+	1314	2	0.000671686	Stool_12.k141_28767_4/63-436	Stool_12.k141_28767_4	645.1
Stool_12	C3_2	103584_11	k141_103584	10588	11904	+	1317	13	0.00435601	Stool_12.k141_103584_11/64-437	Stool_12.k141_103584_11	641.7
Stool_12	C3_2	304901_1	k141_304901	3	1094	+	1092	10	0.00404119	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
Stool_12	C3_2	103584_12	k141_103584	11923	13374	+	1452	11	0.00334316	Stool_12.k141_103584_12/11-266	Stool_12.k141_103584_12	447.1
Stool_12	C3_2	28767_5	k141_28767	3874	4683	+	810	0	0	Stool_12.k141_28767_5/11-266	Stool_12.k141_28767_5	445.5
Stool_12	C3_2	304901_2	k141_304901	1146	2201	+	1056	13	0.00543264	Stool_12.k141_304901_2/3-237	Stool_12.k141_304901_2	397.6
Stool_12	C3_2	304901_2	k141_304901	1146	2201	+	1056	13	0.00543264	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
Stool_12	C3_2	304901_1	k141_304901	3	1094	+	1092	10	0.00404119	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
Stool_12	C3_2	103584_12	k141_103584	11923	13374	+	1452	11	0.00334316	Stool_12.k141_103584_12/21-362	Stool_12.k141_103584_12	238.2
Stool_12	C3_2	103584_11	k141_103584	10588	11904	+	1317	13	0.00435601	Stool_12.k141_103584_11/63-344	Stool_12.k141_103584_11	169.0
Stool_12	C3_2	28767_4	k141_28767	2542	3855	+	1314	2	0.000671686	Stool_12.k141_28767_4/4-418	Stool_12.k141_28767_4	206.6
Stool_12	C3_2	28767_5	k141_28767	3874	4683	+	810	0	0	Stool_12.k141_28767_5/20-268	Stool_12.k141_28767_5	138.6
Stool_12	C5_2	28767_4	k141_28767	2542	3855	+	1314	40	0.0116075	Stool_12.k141_28767_4/63-436	Stool_12.k141_28767_4	645.1
Stool_12	C5_2	103584_11	k141_103584	10588	11904	+	1317	27	0.00781722	Stool_12.k141_103584_11/64-437	Stool_12.k141_103584_11	641.7
Stool_12	C5_2	304901_1	k141_304901	3	1094	+	1092	9	0.00314264	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
Stool_12	C5_2	103584_12	k141_103584	11923	13374	+	1452	27	0.00709041	Stool_12.k141_103584_12/11-266	Stool_12.k141_103584_12	447.1
Stool_12	C5_2	28767_5	k141_28767	3874	4683	+	810	11	0.00517824	Stool_12.k141_28767_5/11-266	Stool_12.k141_28767_5	445.5
Stool_12	C5_2	304901_2	k141_304901	1146	2201	+	1056	20	0.00722172	Stool_12.k141_304901_2/3-237	Stool_12.k141_304901_2	397.6
Stool_12	C5_2	304901_2	k141_304901	1146	2201	+	1056	20	0.00722172	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
Stool_12	C5_2	304901_1	k141_304901	3	1094	+	1092	9	0.00314264	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
Stool_12	C5_2	103584_12	k141_103584	11923	13374	+	1452	27	0.00709041	Stool_12.k141_103584_12/21-362	Stool_12.k141_103584_12	238.2
Stool_12	C5_2	103584_11	k141_103584	10588	11904	+	1317	27	0.00781722	Stool_12.k141_103584_11/63-344	Stool_12.k141_103584_11	169.0
Stool_12	C5_2	28767_4	k141_28767	2542	3855	+	1314	40	0.0116075	Stool_12.k141_28767_4/4-418	Stool_12.k141_28767_4	206.6
Stool_12	C5_2	28767_5	k141_28767	3874	4683	+	810	11	0.00517824	Stool_12.k141_28767_5/20-268	Stool_12.k141_28767_5	138.6
Stool_12	C7_2	28767_4	k141_28767	2542	3855	+	1314	23	0.00718795	Stool_12.k141_28767_4/63-436	Stool_12.k141_28767_4	645.1
Stool_12	C7_2	103584_11	k141_103584	10588	11904	+	1317	31	0.00966603	Stool_12.k141_103584_11/64-437	Stool_12.k141_103584_11	641.7
Stool_12	C7_2	304901_1	k141_304901	3	1094	+	1092	9	0.00338448	Stool_12.k141_304901_1/18-362	Stool_12.k141_304901_1	605.3
Stool_12	C7_2	103584_12	k141_103584	11923	13374	+	1452	23	0.00650479	Stool_12.k141_103584_12/11-266	Stool_12.k141_103584_12	447.1
Stool_12	C7_2	28767_5	k141_28767	3874	4683	+	810	14	0.00709766	Stool_12.k141_28767_5/11-266	Stool_12.k141_28767_5	445.5
Stool_12	C7_2	304901_2	k141_304901	1146	2201	+	1056	17	0.00661085	Stool_12.k141_304901_2/3-237	Stool_12.k141_304901_2	397.6
Stool_12	C7_2	304901_2	k141_304901	1146	2201	+	1056	17	0.00661085	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
Stool_12	C7_2	304901_1	k141_304901	3	1094	+	1092	9	0.00338448	Stool_12.k141_304901_1/19-336	Stool_12.k141_304901_1	224.0
Stool_12	C7_2	103584_12	k141_103584	11923	13374	+	1452	23	0.00650479	Stool_12.k141_103584_12/21-362	Stool_12.k141_103584_12	238.2
Stool_12	C7_2	103584_11	k141_103584	10588	11904	+	1317	31	0.00966603	Stool_12.k141_103584_11/63-344	Stool_12.k141_103584_11	169.0
Stool_12	C7_2	28767_4	k141_28767	2542	3855	+	1314	23	0.00718795	Stool_12.k141_28767_4/4-418	Stool_12.k141_28767_4	206.6
Stool_12	C7_2	28767_5	k141_28767	3874	4683	+	810	14	0.00709766	Stool_12.k141_28767_5/20-268	Stool_12.k141_28767_5	138.6
Stool_12	C9_2	304901_2	k141_304901	1146	2201	+	1056	0	0	Stool_12.k141_304901_2/8-336	Stool_12.k141_304901_2	264.6
