# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_3/K21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam	RPKM
1_1	k141_1	1	1146	+	1146	0	0
2_1	k141_2317	283	807	+	525	0	0
2_2	k141_2317	822	1478	+	657	0	0
3_1	k141_39373	3	284	-	282	0	0
3_2	k141_39373	288	1292	-	1005	0	0
4_1	k141_16213	2	139	-	138	0	0
4_2	k141_16213	153	353	-	201	0	0
4_3	k141_16213	493	1173	+	681	122	24.8455
5_1	k141_18530	1	330	+	330	0	0
5_2	k141_18530	381	1193	+	813	0	0
5_3	k141_18530	1207	1632	+	426	0	0
5_4	k141_18530	1962	2033	-	72	0	0
6_1	k141_44002	2	313	+	312	0	0
6_2	k141_44002	338	1558	+	1221	0	0
6_3	k141_44002	1663	1950	+	288	0	0
6_4	k141_44002	2091	2309	+	219	0	0
6_5	k141_44002	2440	2898	-	459	1	0.30215
7_1	k141_6948	2	1780	+	1779	0	0
7_2	k141_6948	1823	3406	+	1584	0	0
8_1	k141_41689	3	335	+	333	0	0
8_2	k141_41689	850	1308	+	459	2	0.604299
9_1	k141_16214	3	350	-	348	0	0
9_2	k141_16214	350	1483	-	1134	3	0.366896
10_1	k141_41690	2	130	+	129	14	15.0513
10_2	k141_41690	114	308	+	195	102	72.5438
10_3	k141_41690	305	1093	+	789	278	48.8655
11_1	k141_11584	19	288	-	270	0	0
11_2	k141_11584	428	2728	+	2301	0	0
11_3	k141_11584	2731	2865	-	135	0	0
12_1	k141_9267	1	384	+	384	0	0
12_2	k141_9267	478	918	+	441	0	0
12_3	k141_9267	993	1478	+	486	0	0
12_4	k141_9267	1596	2807	-	1212	0	0
12_5	k141_9267	2897	3277	-	381	0	0
13_1	k141_44006	1	1002	+	1002	0	0
13_2	k141_44006	1053	1430	+	378	0	0
13_3	k141_44006	1562	1921	+	360	0	0
14_1	k141_34743	1	1026	+	1026	0	0
14_2	k141_34743	1467	1691	-	225	0	0
14_3	k141_34743	1913	3079	-	1167	0	0
15_1	k141_27801	3	557	+	555	0	0
15_2	k141_27801	742	1044	+	303	0	0
16_1	k141_16215	2	730	+	729	0	0
16_2	k141_16215	929	1942	+	1014	0	0
17_1	k141_37056	2	2179	-	2178	642	40.8801
17_2	k141_37056	2384	2500	-	117	37	43.8582
17_3	k141_37056	2546	2719	-	174	82	65.3581
17_4	k141_37056	3792	5282	-	1491	344	31.9975
17_5	k141_37056	5460	5822	-	363	57	21.7772
18_1	k141_4642	86	673	+	588	72	16.982
18_2	k141_4642	714	1106	+	393	24	8.46942
19_1	k141_13899	3	323	+	321	0	0
19_2	k141_13899	462	1238	-	777	0	0
19_3	k141_13899	1499	2926	-	1428	0	0
19_4	k141_13899	3014	3790	-	777	0	0
20_1	k141_9268	3	551	+	549	0	0
20_2	k141_9268	587	1249	+	663	0	0
20_3	k141_9268	1328	1393	+	66	0	0
21_1	k141_27802	1	1110	+	1110	0	0
22_1	k141_11	349	1494	+	1146	137	16.5795
22_2	k141_11	1506	1631	+	126	9	9.90619
22_3	k141_11	1618	1701	+	84	0	0
23_1	k141_18540	2	274	+	273	0	0
23_2	k141_18540	252	1427	-	1176	0	0
24_1	k141_9269	1	84	-	84	34	56.1351
25_1	k141_34747	96	578	+	483	67	19.2381
26_1	k141_27804	3	641	-	639	0	0
26_2	k141_27804	664	2031	-	1368	0	0
27_1	k141_20845	1	360	-	360	0	0
27_2	k141_20845	372	1112	-	741	8	1.49729
28_1	k141_39374	2	2218	-	2217	579	36.2199
28_2	k141_39374	2222	3358	-	1137	286	34.8851
28_3	k141_39374	3404	4795	-	1392	407	40.5499
28_4	k141_39374	4892	5434	-	543	121	30.9044
28_5	k141_39374	5624	6034	+	411	124	41.8422
28_6	k141_39374	6164	6826	+	663	240	50.2033
29_1	k141_41695	2	1315	-	1314	267	28.1806
29_2	k141_41695	1315	2649	-	1335	323	33.5549
29_3	k141_41695	2910	3608	+	699	154	30.5547
30_1	k141_2326	272	700	+	429	6	1.93967
30_2	k141_2326	817	1914	+	1098	22	2.77879
