Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_9/A1_2.bam	RPKM	geneLoc	geneNum	Score
31715_2	k141_270672	655	1800	+	1146	24	1.94146	Stool_9.k141_270672_2/20-361	Stool_9.k141_270672_2	241.4
31729_2	k141_270673	656	1801	+	1146	26	2.10325	Stool_9.k141_270673_2/20-361	Stool_9.k141_270673_2	238.9
73453_4	k141_311318	2540	3292	+	753	31	3.81654	Stool_9.k141_311318_4/61-250	Stool_9.k141_311318_4	125.6
31729_5	k141_270673	4763	5515	+	753	11	1.35426	Stool_9.k141_270673_5/61-250	Stool_9.k141_270673_5	124.9
31729_2	k141_270673	656	1801	+	1146	26	2.10325	Stool_9.k141_270673_2/11-266	Stool_9.k141_270673_2	446.5
31715_2	k141_270672	655	1800	+	1146	24	1.94146	Stool_9.k141_270672_2/11-266	Stool_9.k141_270672_2	446.0
73453_4	k141_311318	2540	3292	+	753	31	3.81654	Stool_9.k141_311318_4/63-251	Stool_9.k141_311318_4	373.7
31729_5	k141_270673	4763	5515	+	753	11	1.35426	Stool_9.k141_270673_5/63-251	Stool_9.k141_270673_5	371.6
31729_1	k141_270673	2	637	+	636	19	2.76949	Stool_9.k141_270673_1/2-210	Stool_9.k141_270673_1	300.2
31715_1	k141_270672	2	637	+	636	11	1.60339	Stool_9.k141_270672_1/2-210	Stool_9.k141_270672_1	298.3
