Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_15/B19_2.bam	RPKG	geneLoc	geneNum	Score
4659_26	k141_25391	25020	26027	-	1008	0	0	Capsule_15.k141_25391_26/1-334	Capsule_15.k141_25391_26	546.2
18783_8	k141_120776	7125	8138	-	1014	4	0.00163593	Capsule_15.k141_120776_8/1-334	Capsule_15.k141_120776_8	499.6
1697_4	k141_105309	2180	3178	-	999	1084	0.449993	Capsule_15.k141_105309_4/1-328	Capsule_15.k141_105309_4	487.7
5737_1	k141_99843	75	1109	+	1035	0	0	Capsule_15.k141_99843_1/1-343	Capsule_15.k141_99843_1	478.5
17275_7	k141_58394	10239	11270	+	1032	0	0	Capsule_15.k141_58394_7/1-334	Capsule_15.k141_58394_7	466.8
27575_86	k141_123211	105057	106103	+	1047	0	0	Capsule_15.k141_123211_86/1-338	Capsule_15.k141_123211_86	445.1
20633_6	k141_90809	4050	5084	-	1035	0	0	Capsule_15.k141_90809_6/1-337	Capsule_15.k141_90809_6	443.4
8628_50	k141_82309	49521	50558	+	1038	0	0	Capsule_15.k141_82309_50/1-340	Capsule_15.k141_82309_50	435.5
24909_17	k141_85857	15744	16784	-	1041	33	0.0131463	Capsule_15.k141_85857_17/1-338	Capsule_15.k141_85857_17	435.4
1485_29	k141_43479	29554	30591	-	1038	0	0	Capsule_15.k141_43479_29/1-338	Capsule_15.k141_43479_29	430.2
12203_189	k141_88890	145929	146975	+	1047	24	0.00950618	Capsule_15.k141_88890_189/1-339	Capsule_15.k141_88890_189	422.3
4180_1	k141_111936	2	982	+	981	0	0	Capsule_15.k141_111936_1/1-320	Capsule_15.k141_111936_1	416.3
3927_8	k141_111914	5536	6516	-	981	0	0	Capsule_15.k141_111914_8/1-320	Capsule_15.k141_111914_8	414.8
4659_25	k141_25391	24226	25020	-	795	0	0	Capsule_15.k141_25391_25/4-264	Capsule_15.k141_25391_25	453.6
18783_7	k141_120776	6334	7128	-	795	4	0.00208658	Capsule_15.k141_120776_7/4-264	Capsule_15.k141_120776_7	450.2
1697_3	k141_105309	1390	2178	-	789	872	0.458333	Capsule_15.k141_105309_3/3-262	Capsule_15.k141_105309_3	432.9
17275_8	k141_58394	11270	12064	+	795	0	0	Capsule_15.k141_58394_8/5-264	Capsule_15.k141_58394_8	427.5
19170_2	k141_114652	349	1149	+	801	0	0	Capsule_15.k141_114652_2/8-266	Capsule_15.k141_114652_2	334.2
20633_5	k141_90809	3240	4031	-	792	0	0	Capsule_15.k141_90809_5/4-263	Capsule_15.k141_90809_5	331.3
4180_2	k141_111936	999	1790	+	792	0	0	Capsule_15.k141_111936_2/4-263	Capsule_15.k141_111936_2	330.1
3927_7	k141_111914	4728	5519	-	792	0	0	Capsule_15.k141_111914_7/4-263	Capsule_15.k141_111914_7	328.4
24909_16	k141_85857	14957	15751	-	795	15	0.00782466	Capsule_15.k141_85857_16/7-264	Capsule_15.k141_85857_16	327.8
27575_87	k141_123211	106107	106898	+	792	0	0	Capsule_15.k141_123211_87/4-263	Capsule_15.k141_123211_87	327.8
12203_190	k141_88890	146968	147768	+	801	5	0.00258868	Capsule_15.k141_88890_190/4-266	Capsule_15.k141_88890_190	321.7
8628_51	k141_82309	50560	51360	+	801	3	0.00155321	Capsule_15.k141_82309_51/4-266	Capsule_15.k141_82309_51	320.9
21959_3	k141_41904	2233	3024	-	792	2	0.00104724	Capsule_15.k141_41904_3/7-263	Capsule_15.k141_41904_3	317.6
1485_28	k141_43479	28746	29537	-	792	0	0	Capsule_15.k141_43479_28/6-263	Capsule_15.k141_43479_28	313.1
4659_24	k141_25391	23241	24212	-	972	1	0.000426654	Capsule_15.k141_25391_24/2-315	Capsule_15.k141_25391_24	573.3
14519_2	k141_71066	95	1057	+	963	0	0	Capsule_15.k141_71066_2/2-315	Capsule_15.k141_71066_2	568.7
17275_9	k141_58394	12075	13037	+	963	0	0	Capsule_15.k141_58394_9/2-315	Capsule_15.k141_58394_9	564.8
18783_6	k141_120776	5353	6321	-	969	3	0.00128392	Capsule_15.k141_120776_6/2-315	Capsule_15.k141_120776_6	557.3
1697_2	k141_105309	411	1376	-	966	1183	0.507866	Capsule_15.k141_105309_2/2-315	Capsule_15.k141_105309_2	527.0
21447_1	k141_24314	101	1138	-	1038	0	0	Capsule_15.k141_24314_1/4-321	Capsule_15.k141_24314_1	386.6
27575_88	k141_123211	106916	107956	+	1041	0	0	Capsule_15.k141_123211_88/4-321	Capsule_15.k141_123211_88	383.2
24909_15	k141_85857	13907	14944	-	1038	41	0.0163805	Capsule_15.k141_85857_15/4-321	Capsule_15.k141_85857_15	380.9
20633_4	k141_90809	2156	3220	-	1065	0	0	Capsule_15.k141_90809_4/4-321	Capsule_15.k141_90809_4	377.3
3927_6	k141_111914	3654	4709	-	1056	0	0	Capsule_15.k141_111914_6/4-321	Capsule_15.k141_111914_6	373.6
8628_52	k141_82309	51373	52377	+	1005	8	0.00330115	Capsule_15.k141_82309_52/4-319	Capsule_15.k141_82309_52	364.2
19170_3	k141_114652	1163	2185	+	1023	0	0	Capsule_15.k141_114652_3/3-319	Capsule_15.k141_114652_3	363.9
1485_27	k141_43479	27660	28727	-	1068	0	0	Capsule_15.k141_43479_27/4-331	Capsule_15.k141_43479_27	362.7
21959_2	k141_41904	1145	2215	-	1071	6	0.00232329	Capsule_15.k141_41904_2/4-331	Capsule_15.k141_41904_2	361.4
12203_191	k141_88890	147784	148788	+	1005	17	0.00701495	Capsule_15.k141_88890_191/4-319	Capsule_15.k141_88890_191	353.8
