Capsule_1.k141_35391_7/21-362,Capsule_1.k141_35391_7,484,240.3,9.7e-70,1.0,342,239.9,8.5e-73,1.3e-69,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_1.k141_35391_6/62-342,Capsule_1.k141_35391_6,439,211.0,6.9e-61,4.0,281,168.1,4.4e-51,6.6e-48,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_1_dsrAB_arch.domtblout
Capsule_11.k141_302606_34/21-362,Capsule_11.k141_302606_34,484,239.2,1.4e-69,1.0,342,238.8,1.3e-72,1.8e-69,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_11_dsrAB_arch.domtblout
Capsule_11.k141_302606_35/63-344,Capsule_11.k141_302606_35,439,210.7,5.6e-61,4.2,282,169.0,1.6e-51,2.3e-48,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_11_dsrAB_arch.domtblout
Capsule_12.k141_262984_32/8-336,Capsule_12.k141_262984_32,352,264.9,2.4e-77,0.1,329,264.6,2.5e-80,2.9e-77,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_12_dsrAB_arch.domtblout
Capsule_12.k141_262984_31/4-307,Capsule_12.k141_262984_31,397,252.7,1.2e-73,3.2,304,222.5,1.3e-67,1.5e-64,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_12_dsrAB_arch.domtblout
Capsule_12.k141_258154_12/21-362,Capsule_12.k141_258154_12,484,238.6,2.2e-69,1.0,342,238.2,2.4e-72,2.8e-69,1.0,workflow/out/dsrAB_hmmer/domtbl/Capsule_12_dsrAB_arch.domtblout
Capsule_12.k141_56832_5/21-361,Capsule_12.k141_56832_5,382,238.5,2.2e-69,1.2,341,238.1,2.5e-72,3e-69,1.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_12_dsrAB_arch.domtblout
Capsule_12.k141_258154_11/63-344,Capsule_12.k141_258154_11,439,210.7,5.7e-61,4.2,282,169.0,2e-51,2.3e-48,0.2,workflow/out/dsrAB_hmmer/domtbl/Capsule_12_dsrAB_arch.domtblout
Capsule_12.k141_56832_4/4-418,Capsule_12.k141_56832_4,438,210.5,6.7e-61,0.4,415,206.6,8.7e-63,1e-59,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_12_dsrAB_arch.domtblout
Capsule_13.k141_103622_27/8-336,Capsule_13.k141_103622_27,352,264.9,1.6e-77,0.1,329,264.6,1.6e-80,2e-77,0.1,workflow/out/dsrAB_hmmer/domtbl/Capsule_13_dsrAB_arch.domtblout
Capsule_13.k141_103622_28/4-307,Capsule_13.k141_103622_28,397,253.6,4.2e-74,3.7,304,222.5,8.4e-68,1.1e-64,0.4,workflow/out/dsrAB_hmmer/domtbl/Capsule_13_dsrAB_arch.domtblout
Capsule_14.k141_153065_2/20-361,Capsule_14.k141_153065_2,382,241.8,1.6e-70,0.6,342,241.4,1.7e-73,2.1e-70,0.6,workflow/out/dsrAB_hmmer/domtbl/Capsule_14_dsrAB_arch.domtblout
