"hit_id","query_id","biosample_id","closest_ref","distance","SRM_present","single_closest_ref"
"OYVD01.1117.1_2/1-80","OYVD01","SAMN06165452","['QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3"
"UEPQ01.62.1_13/64-437","UEPQ01","SAMN06115483","['Bilophila_wadsworthia__BilWads6']",1.50000025001454e-06,TRUE,"Bilophila_wadsworthia__BilWads6"
"UEPQ01.62.1_14/11-266","UEPQ01","SAMN06115483","['Bilophila_wadsworthia__BilWads6']",1.50000025001454e-06,TRUE,"Bilophila_wadsworthia__BilWads6"
"OQDE01.41009.1_2/1-77","OQDE01","SAMD00036307","['Bilophila_sp._4_1_30__BilSpec3', 'QUERY___Bilophila_wadsworthia_dsrA', 'QUERY___Bilophila_wadsworthia_dsrB', 'Bilophila_wadsworthia__BilWads6']",NA,TRUE,"Bilophila_sp._4_1_30__BilSpec3"
"OWXA01.5389.1_2/11-266","OWXA01","SAMN05827029","['QUERY___Ley3_66761_scaffold_1830_dsrB']",0.05734,TRUE,"QUERY___Ley3_66761_scaffold_1830_dsrB"
"OWXA01.5389.1_1/97-239","OWXA01","SAMN05827029","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.0735393035934414,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA"
"OYPH01.2748.1_1/63-178","OYPH01","SAMN06165653","['Desulfovibrio_sp._3_1_syn3__DsvSp230', 'QUERY___Ley3_66761_scaffold_1830_dsrB', 'Desulfovibrio_sp._6_1_46AFAA__DsvSp231']",NA,TRUE,"Desulfovibrio_sp._3_1_syn3__DsvSp230"
"UPFD01.8591.1_2/63-436","UPFD01","SAMEA2737666","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.012293,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA"
"UPFD01.8591.1_3/11-266","UPFD01","SAMEA2737666","['QUERY___Ley3_66761_scaffold_1025_dsrA']",0.056044,TRUE,"QUERY___Ley3_66761_scaffold_1025_dsrA"
"UPMZ01.5950.1_5/51-395","UPMZ01","SAMEA2737808","['Gordonibacter_pamelaeae_7-10-1-b__FP929047']",0.00759969517357038,TRUE,"Gordonibacter_pamelaeae_7-10-1-b__FP929047"
