Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_2/G11_1.bam	RPKM	geneLoc	geneNum	Score
7150_21	k141_128307	18060	19511	-	1452	412	22.1708	Capsule_2.k141_128307_21/21-362	Capsule_2.k141_128307_21	239.9
13405_5	k141_130014	3859	5001	+	1143	0	0	Capsule_2.k141_130014_5/20-360	Capsule_2.k141_130014_5	237.5
7150_22	k141_128307	19530	20846	-	1317	346	20.5278	Capsule_2.k141_128307_22/62-342	Capsule_2.k141_128307_22	168.1
13405_4	k141_130014	2527	3840	+	1314	0	0	Capsule_2.k141_130014_4/4-418	Capsule_2.k141_130014_4	205.1
20171_1	k141_67721	3	572	+	570	4	0.548323	Capsule_2.k141_67721_1/31-169	Capsule_2.k141_67721_1	117.7
13405_4	k141_130014	2527	3840	+	1314	0	0	Capsule_2.k141_130014_4/63-436	Capsule_2.k141_130014_4	645.5
7150_22	k141_128307	19530	20846	-	1317	346	20.5278	Capsule_2.k141_128307_22/64-437	Capsule_2.k141_128307_22	641.1
7150_21	k141_128307	18060	19511	-	1452	412	22.1708	Capsule_2.k141_128307_21/11-266	Capsule_2.k141_128307_21	444.4
13405_5	k141_130014	3859	5001	+	1143	0	0	Capsule_2.k141_130014_5/11-266	Capsule_2.k141_130014_5	446.5
26424_2	k141_124364	2407	2982	+	576	1	0.135653	Capsule_2.k141_124364_2/63-191	Capsule_2.k141_124364_2	236.5
20171_1	k141_67721	3	572	+	570	4	0.548323	Capsule_2.k141_67721_1/1-74	Capsule_2.k141_67721_1	104.8
