hit_id,query_id,biosample_id,closest_ref,distance
OYVD01.1117.1_2/1-80,OYVD01,SAMN06165452,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA
UEPQ01.62.1_13/64-437,UEPQ01,SAMN06115483,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UEPQ01.62.1_14/11-266,UEPQ01,SAMN06115483,['Bilophila_wadsworthia__BilWads6'],1.44E-06
OQDE01.41009.1_2/1-77,OQDE01,SAMD00036307,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA
OWXA01.5389.1_2/11-266,OWXA01,SAMN05827029,['uncultured_bacterium__EF645667'],0.158545604
OWXA01.5389.1_1/97-239,OWXA01,SAMN05827029,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.075350418
OYPH01.2748.1_1/63-178,OYPH01,SAMN06165653,"['Desulfovibrio_sp._3_1_syn3__DsvSp230', 'uncultured_bacterium__EF645667', 'Desulfovibrio_sp._6_1_46AFAA__DsvSp231']",NA
UPFD01.8591.1_2/63-436,UPFD01,SAMEA2737666,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.014090363
UPFD01.8591.1_3/11-266,UPFD01,SAMEA2737666,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.057770363
UPMZ01.5950.1_5/51-395,UPMZ01,SAMEA2737808,['Gordonibacter_pamelaeae_7-10-1-b__FP929047'],0.007593353
UPMZ01.5950.1_6/3-237,UPMZ01,SAMEA2737808,['Gordonibacter_pamelaeae__GrdPame5'],0.003374261
UPMZ01.79208.1_1/11-136,UPMZ01,SAMEA2737808,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA
UPMZ01.44144.1_1/64-137,UPMZ01,SAMEA2737808,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
ORSC01.82376.1_1/1-172,ORSC01,SAMEA2338681,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],NA
