# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam
1_1	k141_14156	3	878	+	876	19
2_1	k141_3539	3	887	+	885	9
2_2	k141_3539	956	1219	+	264	2
3_1	k141_42468	117	725	-	609	6
3_2	k141_42468	784	1554	+	771	12
3_3	k141_42468	1547	2341	+	795	24
4_1	k141_38930	3	1706	-	1704	15
4_2	k141_38930	1830	1976	-	147	5
5_1	k141_46008	3	365	-	363	6
5_2	k141_46008	377	1144	-	768	23
5_3	k141_46008	1155	1691	-	537	18
5_4	k141_46008	1702	2511	-	810	26
6_1	k141_31853	2	457	-	456	16
6_2	k141_31853	599	1141	-	543	11
7_1	k141_60161	254	397	+	144	34
7_2	k141_60161	479	2047	+	1569	155
7_3	k141_60161	2093	2422	-	330	37
7_4	k141_60161	2543	3394	-	852	52
8_1	k141_42472	2	139	+	138	0
8_2	k141_42472	151	309	+	159	0
8_3	k141_42472	488	1048	+	561	23
9_1	k141_10617	1	2160	-	2160	315
9_2	k141_10617	3044	3718	-	675	32
9_3	k141_10617	4368	5186	-	819	188
10_1	k141_53088	1	1620	-	1620	130
11_1	k141_38933	1	468	+	468	76
11_2	k141_38933	728	1033	+	306	50
11_3	k141_38933	1017	1130	+	114	12
12_1	k141_49546	1	507	+	507	38
12_2	k141_49546	485	586	+	102	1
12_3	k141_49546	1067	1891	+	825	73
12_4	k141_49546	2386	3261	+	876	117
12_5	k141_49546	3265	4437	+	1173	143
12_6	k141_49546	4592	4855	+	264	14
12_7	k141_49546	5013	5669	+	657	77
13_1	k141_17698	2	931	+	930	37
13_2	k141_17698	986	1867	-	882	16
13_3	k141_17698	2037	2132	+	96	0
14_1	k141_3544	1	279	-	279	11
14_2	k141_3544	801	1223	-	423	22
15_1	k141_56626	3	212	+	210	20
15_2	k141_56626	349	1569	-	1221	48
15_3	k141_56626	1873	2130	+	258	10
16_1	k141_63704	77	700	+	624	9
16_2	k141_63704	718	1431	+	714	9
16_3	k141_63704	1462	1797	+	336	9
17_1	k141_24779	3	845	-	843	9
17_2	k141_24779	934	1014	-	81	1
18_1	k141_21240	3	107	-	105	21
18_2	k141_21240	291	1517	-	1227	275
19_1	k141_60164	167	1132	-	966	24
20_1	k141_17699	91	246	+	156	7
20_2	k141_17699	337	1758	+	1422	28
21_1	k141_53090	2	298	+	297	13
21_2	k141_53090	307	822	+	516	15
21_3	k141_53090	812	1015	+	204	10
21_4	k141_53090	1167	1559	+	393	16
21_5	k141_53090	1641	1799	+	159	4
22_1	k141_67239	34	2130	-	2097	405
22_2	k141_67239	2127	2828	-	702	55
22_3	k141_67239	2818	3075	-	258	28
22_4	k141_67239	3109	4821	-	1713	257
23_1	k141_46015	2	199	-	198	0
23_2	k141_46015	205	1326	-	1122	44
24_1	k141_21243	3	83	-	81	0
24_2	k141_21243	107	1573	-	1467	10
25_1	k141_49551	3	137	-	135	4
25_2	k141_49551	179	970	-	792	73
25_3	k141_49551	1319	1627	-	309	18
26_1	k141_63709	3	221	+	219	2
26_2	k141_63709	218	904	+	687	29
27_1	k141_3551	198	506	+	309	13
27_2	k141_3551	826	1011	-	186	2
27_3	k141_3551	1049	1237	-	189	5
28_1	k141_60168	3	1601	+	1599	35
29_1	k141_14	172	1554	+	1383	521
29_2	k141_14	1551	2336	+	786	251
30_1	k141_31858	3	98	+	96	1
30_2	k141_31858	95	385	+	291	53
30_3	k141_31858	493	1938	-	1446	236
30_4	k141_31858	2125	2415	-	291	82
30_5	k141_31858	2444	2905	-	462	111
30_6	k141_31858	2916	3368	-	453	99
30_7	k141_31858	3472	3627	-	156	20
31_1	k141_21244	22	1344	-	1323	53
32_1	k141_53094	3	71	+	69	0
32_2	k141_53094	68	922	+	855	141
32_3	k141_53094	919	1023	+	105	0
33_1	k141_60169	84	941	-	858	11
33_2	k141_60169	1035	1241	+	207	2
34_1	k141_56634	864	1598	+	735	149
34_2	k141_56634	1625	2080	+	456	68
35_1	k141_49555	1	150	-	150	0
35_2	k141_49555	177	1019	-	843	10
36_1	k141_42476	2	877	+	876	60
36_2	k141_42476	879	2618	+	1740	180
36_3	k141_42476	2822	3397	-	576	58
36_4	k141_42476	4042	4287	+	246	64
36_5	k141_42476	4401	4562	+	162	7
37_1	k141_38937	1	141	+	141	44
37_2	k141_38937	368	1069	+	702	147
37_3	k141_38937	1062	3560	+	2499	475
37_4	k141_38937	3572	3811	+	240	32
37_5	k141_38937	3795	3908	+	114	4
38_1	k141_17706	1	309	+	309	21
38_2	k141_17706	378	1454	+	1077	31
38_3	k141_17706	1571	2158	+	588	45
39_1	k141_63711	2	289	+	288	93
39_2	k141_63711	537	734	+	198	68
39_3	k141_63711	800	1465	+	666	82
39_4	k141_63711	1517	2131	-	615	70
39_5	k141_63711	2289	2423	+	135	4
40_1	k141_56635	1	585	+	585	10
40_2	k141_56635	598	939	+	342	4
40_3	k141_56635	943	1197	+	255	0
41_1	k141_19	2	190	+	189	61
41_2	k141_19	407	856	+	450	67
42_1	k141_60171	3	140	+	138	1
42_2	k141_60171	145	1656	+	1512	58
43_1	k141_17708	3	503	-	501	7
43_2	k141_17708	571	984	-	414	6
44_1	k141_3558	1	762	+	762	16
44_2	k141_3558	1108	1437	+	330	10
45_1	k141_46017	12	1193	+	1182	69
45_2	k141_46017	1207	3654	+	2448	123
45_3	k141_46017	3743	4231	-	489	26
46_1	k141_53099	125	1351	+	1227	42
46_2	k141_53099	1475	2002	-	528	16
47_1	k141_10622	1	1101	-	1101	23
47_2	k141_10622	1293	2264	+	972	28
47_3	k141_10622	2458	3387	-	930	22
47_4	k141_10622	3592	4110	-	519	18
47_5	k141_10622	4153	4785	-	633	17
47_6	k141_10622	4877	6091	-	1215	17
48_1	k141_67243	2	169	-	168	1
48_2	k141_67243	258	1202	-	945	42
48_3	k141_67243	1516	1647	+	132	4
48_4	k141_67243	1775	3472	-	1698	34
48_5	k141_67243	3818	4411	-	594	30
49_1	k141_21253	2	439	+	438	12
49_2	k141_21253	451	1041	+	591	16
50_1	k141_3559	1	330	-	330	1
50_2	k141_3559	613	1431	+	819	10
51_1	k141_38943	3	1079	+	1077	18
52_1	k141_56637	2	544	+	543	8
52_2	k141_56637	541	1197	+	657	8
52_3	k141_56637	1220	1345	+	126	2
52_4	k141_56637	1514	1822	+	309	5
52_5	k141_56637	1903	2265	+	363	11
53_1	k141_31867	2	586	+	585	12
53_2	k141_31867	782	1390	-	609	7
54_1	k141_7083	3	584	+	582	38
54_2	k141_7083	908	1216	+	309	35
54_3	k141_7083	1213	1551	+	339	33
54_4	k141_7083	2114	5374	+	3261	334
54_5	k141_7083	5937	6392	+	456	30
54_6	k141_7083	6467	6985	+	519	38
54_7	k141_7083	7136	9640	+	2505	222
55_1	k141_49557	3	971	+	969	16
55_2	k141_49557	978	2735	+	1758	74
55_3	k141_49557	2760	4394	+	1635	87
56_1	k141_35393	3	158	-	156	7
56_2	k141_35393	189	1379	-	1191	172
56_3	k141_35393	1407	2414	-	1008	185
56_4	k141_35393	2688	3899	+	1212	204
56_5	k141_35393	3948	4859	+	912	111
56_6	k141_35393	4845	5453	-	609	105
56_7	k141_35393	5454	5945	-	492	59
56_8	k141_35393	5949	6506	-	558	108
56_9	k141_35393	6694	6915	-	222	37
56_10	k141_35393	7040	7312	-	273	27
56_11	k141_35393	7325	9355	-	2031	425
56_12	k141_35393	9428	11107	-	1680	402
56_13	k141_35393	11114	11470	-	357	64
57_1	k141_3563	2	742	+	741	17
57_2	k141_3563	782	1036	+	255	4
58_1	k141_56638	3	1715	-	1713	98
58_2	k141_56638	1732	1872	-	141	0
59_1	k141_31868	27	1055	+	1029	58
59_2	k141_31868	1099	2307	+	1209	122
59_3	k141_31868	2427	2552	+	126	2
60_1	k141_30	200	1015	+	816	13
61_1	k141_24780	2	913	+	912	42
61_2	k141_24780	1452	2258	+	807	75
61_3	k141_24780	2270	3265	+	996	96
61_4	k141_24780	3279	4655	+	1377	101
61_5	k141_24780	4648	6252	+	1605	116
61_6	k141_24780	6249	7313	+	1065	52
